step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J17_stopped,J17_accumulated_waiting_time,J17_average_speed,J18_stopped,J18_accumulated_waiting_time,J18_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,1,0.0,0.0,2.2633347342256456,0,0.0,1.0,1,0.0,0.1809517657957119,1,0.0
10.0,0,0.0,0.0,7.624173361344989,0,0.0,0.4678946511334367,0,0.0,0.6688456984537304,0,0.0
15.0,1,0.0,0.0,9.38846450513706,0,0.0,0.7433695816969935,1,0.0,0.650784193571921,1,0.0
20.0,0,0.0,0.0,10.607270260344363,0,0.0,0.7895848806237127,0,0.0,0.7722743672675834,0,0.0
25.0,1,0.0,0.0,7.616734909820355,1,0.0,0.41276506466938573,0,0.0,0.6999591650504986,1,0.0
30.0,6,15.0,0.75,7.299122635809764,5,13.0,0.41421894270922993,1,2.0,0.6219009195422167,6,15.0
35.0,5,38.0,1.6521739130434783,7.917490931088319,3,28.0,0.5557819077515097,2,10.0,0.5464358757400054,5,38.0
40.0,8,68.0,2.6153846153846154,6.664670308081583,3,43.0,0.45741517073046645,5,25.0,0.4409663456676684,8,68.0
45.0,10,92.0,3.1724137931034484,6.436772889187687,6,65.0,0.26204018179172783,4,30.0,0.5840239614001759,10,95.0
50.0,13,141.0,4.40625,5.796848867875857,8,100.0,0.29050992116485924,5,44.0,0.4220196419815565,13,144.0
55.0,8,108.0,3.375,6.54055900156291,4,92.0,0.47676335728966884,4,32.0,0.4432576308303816,8,124.0
60.0,9,153.0,4.636363636363637,7.372479140104995,4,108.0,0.5199729183386796,5,54.0,0.36427836883028397,9,162.0
65.0,11,178.0,5.393939393939394,5.887979111245632,7,134.0,0.38830018567887864,4,61.0,0.3162134664943851,11,195.0
70.0,12,155.0,3.9743589743589745,6.33679742327264,5,104.0,0.4287611389918477,7,73.0,0.27234393196643225,12,177.0
75.0,11,189.0,5.108108108108108,6.795216423985491,6,115.0,0.3643633852945784,5,95.0,0.4718716025766813,11,210.0
