step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J17_stopped,J17_accumulated_waiting_time,J17_average_speed,J18_stopped,J18_accumulated_waiting_time,J18_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,1.0,0.0,0.0,2.0475567823438907,0.0,0.0,1.0,1.0,0.0,0.164251416421948,1.0,0.0
10.0,0.0,0.0,0.0,7.446453344047315,0.0,0.0,0.4351702290122983,0.0,0.0,0.6683523453042604,0.0,0.0
15.0,1.0,0.0,0.0,9.62476776342282,0.0,0.0,0.7503610893611576,1.0,0.0,0.6521910016738965,1.0,0.0
20.0,0.4,0.0,0.0,10.28147662472226,0.4,0.0,0.7448382919085821,0.0,0.0,0.7522091345881672,0.4,0.0
25.0,0.7,0.7,0.04666666666666665,7.704607560528274,0.6,0.5,0.4582985946371709,0.1,0.2,0.652144413579004,0.7,0.7
30.0,6.1,14.9,0.745,6.92695314329171,5.0,11.9,0.4118651209931875,1.1,3.0,0.5768973049744737,6.1,14.9
35.0,4.8,37.4,1.626086956521739,8.158160077330871,2.9,26.1,0.5773999902400578,1.9,11.3,0.578385786532048,4.8,37.4
40.0,7.6,60.8,2.3384615384615386,7.092564720566719,3.3,38.2,0.5192447477739559,4.3,23.3,0.452101083729466,7.6,61.5
45.0,10.7,92.7,3.196551724137931,6.4572972860929765,4.7,53.1,0.34820064356075775,6.0,41.7,0.4772884933583934,10.7,94.8
50.0,11.5,112.2,3.4737689393939393,5.6297692484243305,6.1,69.2,0.31160434580987395,5.4,52.6,0.3750665848684787,11.5,121.8
55.0,11.2,135.3,4.182108382209188,6.469039044738392,4.9,79.2,0.4459086033772225,6.3,66.7,0.35345808814391716,11.2,145.9
60.0,9.9,141.1,4.361577647921338,6.992443709808727,4.4,87.9,0.5040960677532189,5.5,70.0,0.36390987734859603,9.9,157.9
65.0,11.0,160.9,4.757540478312537,6.547308940593235,5.4,97.9,0.4645474509867925,5.6,81.9,0.3421140694874767,11.0,179.8
70.0,12.3,159.4,4.207097351186304,5.974133364520194,6.0,90.6,0.37982023141922217,6.3,93.9,0.35423386114143024,12.3,184.5
