step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J17_stopped,J17_accumulated_waiting_time,J17_average_speed,J18_stopped,J18_accumulated_waiting_time,J18_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,1,0.0,0.0,1.8599016595399012,0,0.0,1.0,1,0.0,0.1261324484836926,1,0.0
10.0,0,0.0,0.0,7.96283029402451,0,0.0,0.4942341275299504,0,0.0,0.6717417469554986,0,0.0
15.0,1,0.0,0.0,9.656317843262038,0,0.0,0.7476211464469051,1,0.0,0.6877696686778272,1,0.0
20.0,1,0.0,0.0,8.699102958666952,1,0.0,0.6608339808857825,0,0.0,0.6424402402370445,1,0.0
25.0,2,3.0,0.2,7.723041405424609,1,1.0,0.5348448468260966,1,2.0,0.6207574258379407,2,3.0
30.0,6,17.0,0.85,7.185235101381691,5,10.0,0.4471145753471841,1,7.0,0.6113774062444598,6,17.0
35.0,6,41.0,1.7826086956521738,7.779710740316542,3,25.0,0.5465694701862297,3,16.0,0.5262812593988766,6,41.0
40.0,7,59.0,2.269230769230769,6.635349241755465,4,41.0,0.5134796609887853,3,18.0,0.44354506504921526,7,59.0
45.0,11,105.0,3.6206896551724137,6.685527390117919,5,69.0,0.42295446330322084,6,42.0,0.4987111722547775,11,111.0
50.0,10,136.0,4.25,5.697413843085817,7,95.0,0.3776908200775441,3,49.0,0.4520141824632798,10,144.0
55.0,11,153.0,4.636363636363637,5.9604109795648395,5,101.0,0.43963530063074346,6,72.0,0.33293054688033197,11,173.0
60.0,11,150.0,4.411764705882353,6.253016597385215,6,118.0,0.39457200069754955,5,55.0,0.4193038605150705,11,173.0
65.0,11,146.0,3.945945945945946,6.214637422947848,7,110.0,0.32039473794493767,4,53.0,0.4259478744757524,11,163.0
70.0,15,199.0,4.975,5.43261471575953,9,150.0,0.25990582719131905,6,69.0,0.4212216032138002,15,219.0
75.0,16,157.0,3.6511627906976742,5.808566551079141,7,116.0,0.31336042028166583,9,103.0,0.41332217660325005,16,219.0
80.0,9,81.0,1.8,6.855537475552333,4,56.0,0.39256172794784683,5,78.0,0.47099388049243734,9,134.0
85.0,10,119.0,2.5319148936170213,8.038773577554107,3,44.0,0.4700305579385871,7,77.0,0.43352253017606895,10,121.0
90.0,14,144.0,3.0638297872340425,7.236070319536159,6,43.0,0.31194372330751996,8,106.0,0.3641370803152003,14,149.0
95.0,17,220.0,4.888888888888889,7.117375362668934,7,80.0,0.4056893757797534,10,151.0,0.32315563587577634,17,231.0
100.0,13,166.0,4.15,5.153781160892679,5,74.0,0.4691041995194062,8,155.0,0.2710416427469442,13,229.0
105.0,15,227.0,5.536585365853658,5.960383435534156,7,83.0,0.4546295928111165,8,160.0,0.3405287781284702,15,243.0
110.0,13,133.0,2.891304347826087,5.556868591711947,7,77.0,0.3450050588781516,6,150.0,0.3610870211871565,13,227.0
115.0,11,126.0,2.8636363636363638,6.632839096653698,3,53.0,0.3952232430429198,8,120.0,0.41949873799715875,11,173.0
120.0,13,119.0,2.8333333333333335,6.353181779958205,5,61.0,0.5218573542346798,8,122.0,0.2848765620206159,13,183.0
125.0,14,140.0,3.4146341463414633,6.629635193817676,4,70.0,0.4738244425464198,10,107.0,0.217656158547662,14,177.0
130.0,14,168.0,4.097560975609756,5.617987027906546,5,91.0,0.12376772912200922,9,125.0,0.27968543803367385,14,216.0
135.0,16,218.0,5.317073170731708,6.5061397031239,7,99.0,0.32454680553960064,9,162.0,0.317298588867347,16,261.0
140.0,12,229.0,6.026315789473684,7.575307303335087,6,123.0,0.550480146599775,6,148.0,0.3990575084177473,12,271.0
145.0,6,191.0,5.162162162162162,6.872814387409298,2,120.0,0.5540091328117389,4,135.0,0.29989994112120993,6,255.0
150.0,13,243.0,6.5675675675675675,6.5012087303903865,6,111.0,0.4823218433149351,7,153.0,0.24733469897799773,13,264.0
155.0,12,243.0,6.075,6.9272502942951775,6,141.0,0.5104979454592284,6,131.0,0.2504335084638301,12,272.0
160.0,7,251.0,6.783783783783784,7.42579599351147,4,150.0,0.44480303051529085,3,114.0,0.4754468445408264,7,264.0
165.0,8,290.0,7.435897435897436,8.632181079256062,5,170.0,0.41339830305241226,3,127.0,0.5998109007592528,8,297.0
170.0,10,224.0,6.054054054054054,7.825860915549892,9,208.0,0.2703216584914198,1,80.0,0.6276450472252828,10,288.0
175.0,9,235.0,6.351351351351352,7.5286693440154915,8,230.0,0.31771150539914444,1,27.0,0.6347414578971654,9,257.0
180.0,16,280.0,7.368421052631579,5.842139768332371,10,251.0,0.25122860347984327,6,41.0,0.49770208109968395,16,292.0
185.0,15,149.0,3.6341463414634148,5.482830471066161,7,131.0,0.3541868426567461,8,69.0,0.4325563584882287,15,200.0
190.0,15,180.0,4.186046511627907,5.7519754666954555,9,127.0,0.380405469085704,6,67.0,0.45044115738419616,15,194.0
195.0,17,168.0,3.574468085106383,5.9234286846755175,7,104.0,0.375800197235375,10,101.0,0.4182903091128759,17,205.0
200.0,10,86.0,1.7916666666666667,6.708776200036707,1,55.0,0.48376341202238027,9,104.0,0.3876364353348958,10,159.0
205.0,8,83.0,2.024390243902439,7.117305415743875,4,50.0,0.4843982585823723,4,70.0,0.3272013835619885,8,120.0
210.0,13,48.0,1.1428571428571428,5.116618187172016,5,24.0,0.2714527050000781,8,72.0,0.13961051408605743,13,96.0
215.0,21,138.0,3.2857142857142856,4.883554836316867,8,55.0,0.3279859813313103,13,124.0,0.16926212769708404,21,179.0
220.0,16,169.0,3.9302325581395348,5.383898357471434,6,72.0,0.4537415047027158,10,147.0,0.2557445715950804,16,219.0
225.0,14,217.0,5.166666666666667,6.857753690597558,6,83.0,0.5647079815469268,8,140.0,0.27304086853430426,14,223.0
230.0,11,164.0,3.3469387755102042,6.234104139153772,4,72.0,0.4089375318837833,7,138.0,0.28030725427555175,11,210.0
235.0,18,204.0,3.7777777777777777,7.283142706612411,9,89.0,0.4447548569650516,9,137.0,0.4042602597261461,18,226.0
240.0,15,133.0,2.66,6.92906073394885,7,69.0,0.45851267796861556,8,140.0,0.45089222678634494,15,209.0
245.0,18,152.0,2.980392156862745,6.1661109413996975,10,79.0,0.4033479323169311,8,116.0,0.3735400355787468,18,195.0
250.0,18,124.0,2.339622641509434,5.363060652272566,9,90.0,0.4234263359084132,9,122.0,0.22592856729055158,18,212.0
255.0,18,178.0,3.1228070175438596,6.3071561732150005,7,74.0,0.4070963194433887,11,140.0,0.24698876479398954,18,214.0
260.0,17,186.0,3.3214285714285716,6.569544298197187,9,77.0,0.35309987326186465,8,144.0,0.28445918566687284,17,221.0
265.0,20,251.0,4.4035087719298245,6.699970496495496,13,137.0,0.3611555725743428,7,148.0,0.2834975130289791,20,285.0
270.0,20,197.0,3.283333333333333,5.736409520025957,13,151.0,0.32849531066376053,7,122.0,0.28915560811347946,20,273.0
275.0,19,272.0,4.689655172413793,6.633184458144058,11,169.0,0.3710077549616173,8,143.0,0.44796727153367194,19,312.0
280.0,19,285.0,4.830508474576271,6.132121282445311,12,177.0,0.3176930039992298,7,157.0,0.5168697064470079,19,334.0
285.0,28,383.0,6.719298245614035,4.920696303957694,17,213.0,0.3061838346949883,11,203.0,0.3475308658625966,28,416.0
290.0,27,317.0,5.283333333333333,3.3664032608657757,18,247.0,0.17956205278323284,9,188.0,0.2925087356585702,27,435.0
295.0,23,266.0,4.290322580645161,4.801526372303828,13,219.0,0.2463817434345103,10,154.0,0.31729044827140235,23,373.0
