step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J17_stopped,J17_accumulated_waiting_time,J17_average_speed,J18_stopped,J18_accumulated_waiting_time,J18_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,1.0,0.0,0.0,1.9110663608682805,0.0,0.0,1.0,1.0,0.0,0.13394624642611638,1.0,0.0
10.0,0.0,0.0,0.0,7.303021167436924,0.0,0.0,0.4396035374494959,0.0,0.0,0.6371580943313526,0.0,0.0
15.0,0.9,0.0,0.0,9.613413383049995,0.0,0.0,0.7534771597496458,0.9,0.0,0.6610949823498677,0.9,0.0
20.0,0.2,0.0,0.0,10.08912429379268,0.2,0.0,0.7763383831187185,0.0,0.0,0.7282140455353074,0.2,0.0
25.0,0.6,0.6,0.03999999999999998,8.242876215660031,0.5,0.4,0.528061900821988,0.1,0.2,0.6872804459253163,0.6,0.6
30.0,5.5,11.6,0.58,7.3096857367009616,4.6,9.4,0.4581070633027706,0.9,2.2,0.6153716775670752,5.5,11.6
35.0,5.5,34.4,1.4956521739130435,7.943724725925797,3.0,23.9,0.5412548870606929,2.5,10.7,0.571570672314309,5.5,34.6
40.0,7.4,55.4,2.1307692307692307,6.780211966510768,4.0,38.8,0.46161953349946866,3.4,16.9,0.48623326825762775,7.4,55.7
45.0,11.3,97.8,3.3947044334975365,6.1777843777150325,5.4,62.8,0.34968183916251705,5.9,38.8,0.4798094352609793,11.3,101.6
50.0,10.4,102.8,3.1813049853372433,5.536815265221199,6.5,73.0,0.33852954327141105,3.9,41.9,0.4017239024839174,10.4,114.9
55.0,12.2,155.2,4.7725562072336265,6.5195160441283075,5.6,97.4,0.4293920177309819,6.6,64.9,0.39017110513807973,12.2,162.3
60.0,10.1,130.5,3.954863866367661,6.297257407147876,4.0,89.7,0.4533161519288547,6.1,70.1,0.35020121693925355,10.1,159.8
65.0,11.6,168.2,4.793127103421221,6.381578904862723,5.4,93.7,0.4224246642304578,6.2,84.3,0.2963667360541915,11.6,178.0
70.0,13.6,171.7,4.460732118758434,5.627822801852816,6.2,93.4,0.3497265702804626,7.4,100.7,0.32225261973880703,13.6,194.1
75.0,13.3,190.0,4.7128364901410995,6.788379577299996,5.4,92.4,0.4143754051276238,7.9,125.1,0.42376930940578517,13.3,217.5
80.0,12.8,167.0,4.044138848955923,6.376385676053778,6.7,84.2,0.38287775315554734,6.1,126.2,0.4520918573381213,12.8,210.4
85.0,12.8,195.1,4.510200405622387,6.787116274052219,6.0,90.2,0.436213878768651,6.8,128.4,0.44302930227614856,12.8,218.6
90.0,13.9,183.4,4.085558025076989,6.200008008664245,5.9,92.4,0.3891599792426256,8.0,134.1,0.39414699227761874,13.9,226.5
95.0,14.2,193.8,4.336509476548296,6.457663841000086,5.0,85.9,0.43914982178848144,9.2,138.5,0.35347409643491234,14.2,224.4
100.0,14.0,194.2,4.233156820637984,5.78469635841164,5.0,84.2,0.4403531268109953,9.0,150.7,0.2307384280694617,14.0,234.9
105.0,15.9,188.2,4.113762146111486,6.141841817306977,6.4,88.9,0.4468873958529186,9.5,143.3,0.2602916626903073,15.9,232.2
110.0,14.2,158.2,3.3270815462146337,6.196280533328339,6.9,94.2,0.36653182355626185,7.3,126.8,0.36383003129629654,14.2,221.0
115.0,13.3,171.9,3.7864497834313355,6.816228132211312,6.2,95.6,0.40735209842732545,7.1,115.1,0.43869407499300045,13.3,210.7
120.0,15.0,173.4,3.864994604481398,6.306748352160051,6.8,100.3,0.45549051756213865,8.2,123.9,0.3462885892114136,15.0,224.2
125.0,14.9,177.3,4.158927222585759,5.813144518621966,4.6,88.5,0.41967328069182785,10.3,132.5,0.25521157543260886,14.9,221.0
130.0,16.0,199.9,4.555049460528758,5.421060946872264,6.1,93.2,0.20966023746539744,9.9,145.0,0.29284122834646,16.0,238.2
135.0,16.0,221.3,5.095049361967295,6.090662238145457,7.6,105.0,0.33215634033383357,8.4,156.7,0.3028107006922088,16.0,261.7
140.0,12.1,192.4,4.75053494605689,6.861393222121778,4.6,93.2,0.5371981552559513,7.5,157.2,0.28303426141924787,12.1,250.4
145.0,11.9,205.8,5.207513972802805,6.746883402261079,4.3,91.4,0.5289248851025328,7.6,160.7,0.24301502061966876,11.9,252.1
150.0,13.4,216.1,5.412447655868709,6.423034667955004,6.4,87.1,0.43610845947370447,7.0,171.5,0.30625953022408087,13.4,258.6
155.0,11.3,247.2,5.977551571235781,6.9492190981432005,5.9,100.4,0.46767169899152855,5.4,176.8,0.34621546657927277,11.3,277.2
160.0,11.8,265.5,6.457916307586174,6.859002150790273,6.1,106.2,0.3689575924149878,5.7,191.9,0.4394472667925114,11.8,298.1
165.0,11.5,252.4,5.826857292155485,7.158792938389448,7.1,115.8,0.3665070832946949,4.4,177.4,0.47701910606198555,11.5,293.2
170.0,11.7,239.1,5.661841955598053,6.653396557305607,6.9,118.8,0.36482875678506366,4.8,158.8,0.4152449700686252,11.7,277.6
175.0,11.5,236.9,5.439465180037396,6.7863941551864375,6.5,124.6,0.3839909804246773,5.0,152.7,0.47394164615320333,11.5,277.3
180.0,14.1,243.2,5.251927020472339,6.090925894251017,7.4,129.8,0.3137062002420413,6.7,151.6,0.44055274344634193,14.1,281.4
185.0,13.7,224.1,4.553068415892762,6.545119053699873,7.0,107.3,0.3613148241860504,6.7,153.8,0.4916265375707442,13.7,261.1
190.0,13.1,238.4,4.734470029110549,6.4751201918321915,6.3,103.7,0.37643530395564007,6.8,157.6,0.4417309497481307,13.1,261.3
195.0,16.7,258.7,4.934411899405025,6.334071492723465,7.1,109.3,0.36720715757012834,9.6,178.1,0.420655706499943,16.7,287.4
200.0,14.7,282.4,5.488368875111353,6.179611686437861,5.4,110.4,0.3644330688408145,9.3,205.4,0.3956965067384274,14.7,315.8
205.0,16.6,325.9,6.793573957065613,5.8292240176443215,6.7,125.5,0.4164550205918866,9.9,231.2,0.30616325645126374,16.6,356.7
210.0,18.1,328.8,6.466110711781444,4.818776884510902,7.0,121.4,0.3656055814538254,11.1,256.6,0.205889842336908,18.1,378.0
215.0,19.3,338.5,6.589141462593505,4.887374952252844,7.4,129.6,0.35413766062837315,11.9,268.5,0.21927544868362273,19.3,398.1
220.0,17.9,271.5,5.477493470004228,5.698216077290539,7.4,129.2,0.4525182112990085,10.5,258.4,0.2647411112267581,17.9,387.6
225.0,15.9,250.5,5.114851482369917,6.34253991150389,7.5,118.8,0.4443723403249007,8.4,239.8,0.32311522122910824,15.9,358.6
230.0,14.2,219.0,4.02599158747758,6.0431532831534245,6.2,110.6,0.4192619375887053,8.0,205.2,0.33189985691970614,14.2,315.8
235.0,15.6,243.5,4.210895141771664,7.069131672341892,7.3,115.6,0.4690058426386325,8.3,185.0,0.41248152789121334,15.6,300.6
240.0,15.0,206.6,3.609029877203541,7.111406762698017,7.7,110.9,0.4386475038184156,7.3,161.7,0.4623109365316945,15.0,272.6
245.0,19.5,213.1,3.6700102740980105,6.023065721348343,10.7,125.6,0.3508174768371834,8.8,157.3,0.3236865763242768,19.5,282.9
250.0,20.5,228.5,3.9632713694581105,5.624835695804274,9.9,130.7,0.38923713439913377,10.6,170.4,0.22457186623656317,20.5,301.1
255.0,20.2,254.8,4.2657140400598506,5.795198322602612,10.0,130.4,0.36686460300835605,10.2,178.2,0.24886789309502655,20.2,308.6
260.0,21.4,270.5,4.609021731514284,5.717531970991977,12.0,146.0,0.33145252931339836,9.4,185.3,0.2725054064990978,21.4,331.3
265.0,23.0,328.9,5.414499704906345,5.838719712789773,14.2,187.9,0.3197190898999028,8.8,196.3,0.29369617717427077,23.0,384.2
270.0,22.2,304.5,4.784923887037141,5.384764094140737,13.6,204.5,0.29916645480322485,8.6,187.6,0.29536645832008906,22.2,392.1
275.0,19.9,306.1,4.803972100951812,6.274409639347619,11.3,207.5,0.33122786259696174,8.6,189.1,0.4093794172949673,19.9,396.6
280.0,20.3,280.7,4.431547051601368,6.041101865931184,13.4,222.9,0.30011705816295664,6.9,178.8,0.4403617282458554,20.3,401.7
285.0,24.8,301.4,4.7680123951911195,5.525402259996543,16.1,261.6,0.2975504254491845,8.7,163.0,0.30009871772596797,24.8,424.6
290.0,25.9,336.9,5.256212486028071,4.945471950177636,17.3,304.0,0.24380262308239065,8.6,157.9,0.33458161938853487,25.9,461.9
295.0,27.2,386.1,5.958260545726955,5.0143660732539495,16.3,334.0,0.25012218896555743,10.9,174.6,0.3421789391005311,27.2,508.6
