step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J17_stopped,J17_accumulated_waiting_time,J17_average_speed,J18_stopped,J18_accumulated_waiting_time,J18_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,1,0.0,0.0,2.180402402160689,0,0.0,1.0,1,0.0,0.17864619875086174,1,0.0
10.0,0,0.0,0.0,7.2477142735967774,0,0.0,0.43466624703851703,0,0.0,0.6469914360356795,0,0.0
15.0,1,0.0,0.0,9.798086197960107,0,0.0,0.7879166787959737,1,0.0,0.6710985583320584,1,0.0
20.0,0,0.0,0.0,11.063037627141261,0,0.0,0.8030172122217015,0,0.0,0.800415426053363,0,0.0
25.0,1,1.0,0.07142857142857142,8.140481393281265,1,1.0,0.4907826123826777,0,0.0,0.6694044926523054,1,1.0
30.0,6,16.0,0.8,6.776811987474014,5,14.0,0.3812372719227564,1,2.0,0.579357484181574,6,16.0
35.0,6,41.0,1.7826086956521738,8.00805804163418,3,29.0,0.5896967372778679,3,12.0,0.5452807293815309,6,41.0
40.0,8,72.0,2.769230769230769,7.349189913598687,3,44.0,0.5791979462835052,5,28.0,0.4605363611021873,8,72.0
45.0,11,116.0,4.0,5.723243555785471,4,61.0,0.264677208072423,7,55.0,0.4493726889005544,11,116.0
50.0,13,139.0,4.34375,4.860117250324815,8,91.0,0.1949999541924217,5,57.0,0.38696092056116255,13,148.0
55.0,12,155.0,4.84375,6.047211144594096,4,87.0,0.44064825975699334,8,80.0,0.36837639219536056,12,167.0
60.0,10,151.0,4.71875,6.672586706805969,4,98.0,0.5286226927401604,6,69.0,0.32835782575106237,10,167.0
65.0,13,210.0,6.0,6.9497813198820015,6,131.0,0.5243034618527243,7,88.0,0.31969978970046203,13,219.0
70.0,13,159.0,4.076923076923077,5.270330958032305,6,99.0,0.3650423010112807,7,93.0,0.2746303160359676,13,192.0
75.0,14,211.0,5.702702702702703,6.38529399315644,8,125.0,0.3592078552788023,6,98.0,0.4995485936622995,14,223.0
80.0,13,227.0,5.404761904761905,5.816506902828951,7,144.0,0.32309013096167827,6,113.0,0.5037595008789458,13,257.0
85.0,12,277.0,6.155555555555556,7.63255362372101,5,155.0,0.5581551513386217,7,131.0,0.4691131797596574,12,286.0
90.0,15,246.0,5.23404255319149,6.4054349671193815,6,117.0,0.45514494323004495,9,149.0,0.3337420199608385,15,266.0
95.0,17,234.0,4.775510204081633,6.678180499032634,6,107.0,0.4402985256529303,11,184.0,0.31810815653760716,17,291.0
100.0,17,147.0,3.0625,4.752848610501705,7,124.0,0.35157163504067884,10,131.0,0.2397338079669084,17,255.0
105.0,14,181.0,3.9347826086956523,5.962870150097364,6,130.0,0.39437417993948826,8,108.0,0.27005667946593714,14,238.0
110.0,12,96.0,2.0,5.874085388561009,6,100.0,0.20442576790367026,6,96.0,0.3676369310430694,12,196.0
115.0,16,137.0,2.8541666666666665,7.037183094491586,10,114.0,0.28502523781685213,6,85.0,0.47465363405704103,16,199.0
120.0,13,163.0,3.6222222222222222,6.501440166933969,8,144.0,0.37886247063202405,5,94.0,0.461293370731043,13,238.0
125.0,16,207.0,5.048780487804878,6.193252406022612,5,137.0,0.35611732577664595,11,123.0,0.30185857245588404,16,260.0
130.0,14,154.0,3.7560975609756095,5.374569320912798,5,101.0,0.17883752750095952,9,124.0,0.260598964467962,14,225.0
135.0,14,178.0,4.45,6.647981385846256,5,63.0,0.43362504273974795,9,150.0,0.2908983719322901,14,213.0
140.0,12,96.0,2.526315789473684,7.04142752633341,4,54.0,0.5754922330120328,8,119.0,0.345117719395283,12,173.0
145.0,10,121.0,3.27027027027027,6.617794315343235,4,68.0,0.5341077054107269,6,97.0,0.2960424912599123,10,165.0
150.0,14,130.0,3.4210526315789473,5.847790293851401,8,94.0,0.443618262782823,6,96.0,0.27431293577738874,14,190.0
155.0,9,122.0,2.9047619047619047,6.877041450399993,5,98.0,0.42944155435698544,4,86.0,0.4436555142795875,9,184.0
160.0,11,172.0,4.095238095238095,7.854229874484978,6,88.0,0.38693239761511233,5,98.0,0.5016203937182522,11,186.0
165.0,10,133.0,3.1666666666666665,7.22720076299477,6,90.0,0.35723387350598923,4,72.0,0.39917047995273397,10,162.0
170.0,14,164.0,4.1,6.600669059758536,8,74.0,0.3587178687824276,6,101.0,0.3717425128105797,14,175.0
175.0,10,108.0,2.918918918918919,5.505878764151173,5,87.0,0.3339561822107794,5,76.0,0.48040231029236036,10,163.0
180.0,14,167.0,4.175,6.4790997574682,8,106.0,0.38303365917203824,6,77.0,0.506666849295522,14,183.0
