step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J17_stopped,J17_accumulated_waiting_time,J17_average_speed,J18_stopped,J18_accumulated_waiting_time,J18_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,1.0,0.0,0.0,2.1029989391285926,0.0,0.0,1.0,1.0,0.0,0.16114740104998607,1.0,0.0
10.0,0.0,0.0,0.0,7.571458619473608,0.0,0.0,0.46424940940714,0.0,0.0,0.6592363397948032,0.0,0.0
15.0,1.0,0.0,0.0,9.736612054050426,0.0,0.0,0.7709545668041129,1.0,0.0,0.6625039860174161,1.0,0.0
20.0,0.2,0.0,0.0,10.44056769638021,0.2,0.0,0.7826730819917842,0.0,0.0,0.7441957933138978,0.2,0.0
25.0,0.4,0.2,0.0138095238095238,7.8768409711084715,0.4,0.2,0.5069330154545453,0.0,0.0,0.6340219058347576,0.4,0.2
30.0,5.6,12.1,0.605,7.255895493129882,4.5,8.6,0.4289629036786085,1.1,3.5,0.6064601243896601,5.6,12.1
35.0,5.2,33.6,1.4608695652173913,8.109317403728728,2.7,21.8,0.5997184816413073,2.5,11.8,0.5634959784375795,5.2,33.6
40.0,7.2,55.7,2.1559999999999997,6.998144723128119,3.3,35.4,0.5011469098603151,3.9,21.0,0.4690280863126213,7.2,56.4
45.0,11.2,91.2,3.177832512315271,6.303886848323059,5.2,52.7,0.3317621606915165,6.0,41.6,0.49694734583175404,11.2,94.3
50.0,10.8,99.3,3.0906127810361683,5.670211655110974,6.3,67.7,0.31563932020390373,4.5,44.0,0.4255112028773098,10.8,111.7
55.0,11.0,128.2,3.963517228739003,6.639450862115775,4.6,78.0,0.4554644513233582,6.4,63.2,0.39186134558168406,11.0,141.2
60.0,10.5,137.6,4.224033264332126,6.691466605319478,4.8,87.6,0.4586580916390585,5.7,67.9,0.3745373805207879,10.5,155.5
65.0,12.6,175.9,5.041877208090443,6.345773886009657,6.0,102.1,0.43234273816165486,6.6,87.5,0.3043298532143629,12.6,189.6
70.0,13.9,182.5,4.75842192539561,5.492377450706509,7.5,111.5,0.34497775809362813,6.4,94.0,0.29662461841345134,13.9,205.5
75.0,13.3,199.8,5.1985390024693805,6.606955689837902,6.7,117.8,0.38161549662580224,6.6,103.5,0.4278347417030114,13.3,221.3
80.0,14.7,223.0,5.386104328827708,6.366998519717528,8.6,127.1,0.3282494822882532,6.1,124.6,0.4759249518248221,14.7,251.7
85.0,13.4,247.7,5.738339409298712,6.5508468778272215,6.3,130.0,0.4451637816425061,7.1,143.5,0.42917145775234256,13.4,273.5
90.0,14.4,228.7,5.143007459585132,6.17955792484465,7.1,122.3,0.42183766132916745,7.3,138.5,0.4292632957930704,14.4,260.8
95.0,15.8,211.1,4.636804073311798,6.140096094696758,7.4,123.2,0.4069082714999343,8.4,142.0,0.3693376899931709,15.8,265.2
100.0,15.7,174.0,3.6822157892142364,5.474168418210779,7.5,120.2,0.3773106137840748,8.2,111.7,0.28359332156291045,15.7,231.9
105.0,16.8,186.0,3.8577283572529084,5.747616197005698,7.1,114.4,0.36777934095591497,9.7,113.8,0.2736860996400113,16.8,228.2
110.0,14.7,164.2,3.309909077549532,6.019008725283272,7.2,107.2,0.299899942015284,7.5,118.5,0.364703778532735,14.7,225.7
115.0,14.2,175.5,3.6788738806386503,6.875177175021375,6.8,104.6,0.3501759247033148,7.4,117.8,0.4557844637665792,14.2,222.4
120.0,15.2,202.9,4.376199619060853,6.305141940103638,8.2,126.3,0.3575966192613535,7.0,131.1,0.38404642414820966,15.2,257.4
125.0,17.4,208.9,4.820623819836809,5.565063845903508,6.9,122.4,0.33450697307907623,10.5,141.9,0.2671316497962357,17.4,264.3
130.0,16.8,221.4,5.047861905311463,5.278167335246911,8.0,131.7,0.17336655301672374,8.8,141.8,0.303184885143145,16.8,273.5
135.0,16.1,230.2,5.290363666530914,6.160375032509946,7.4,124.1,0.3346438603406689,8.7,155.0,0.27912037824992697,16.1,279.1
140.0,12.0,193.0,4.640581221765433,6.886384813932734,4.5,105.3,0.518969142223407,7.5,150.2,0.2759014970508353,12.0,255.5
145.0,11.9,217.0,5.431843068683097,6.540123542547119,4.7,109.8,0.48095836725118424,7.2,149.5,0.23673440192748346,11.9,259.3
150.0,13.9,230.0,5.803323972644843,6.467705576545846,7.7,123.9,0.4031419210725371,6.2,158.7,0.35085575795497964,13.9,282.6
155.0,11.1,204.8,4.949431877423638,6.806419979223058,5.6,100.6,0.4394640617769121,5.5,161.9,0.38921773251843733,11.1,262.5
160.0,10.5,192.6,4.770313286837677,6.963123676719411,5.9,84.8,0.3862657206355008,4.6,157.2,0.4657251686804452,10.5,242.0
165.0,10.5,161.9,3.8769541159872523,7.159294294962706,6.7,94.6,0.3805355622959321,3.8,115.2,0.46476429347226933,10.5,209.8
170.0,11.9,175.1,4.334687171862685,6.657987866989702,7.7,104.6,0.35689146290165497,4.2,112.7,0.4229015901949077,11.9,217.3
175.0,11.9,168.9,4.2102565012262385,6.3294855076935645,7.3,121.7,0.3422154633694727,4.6,97.3,0.4641113780943747,11.9,219.0
180.0,14.8,180.9,4.217222637866176,6.079474270928625,9.2,141.7,0.30074213655147286,5.6,84.1,0.4658303401503436,14.8,225.8
185.0,13.8,169.9,3.7999152385872597,6.399256061225914,7.6,144.9,0.3416965578264411,6.2,81.8,0.4953699532276999,13.8,226.7
190.0,12.6,169.8,3.700079976902155,6.466327281882686,6.0,124.7,0.3847289676976568,6.6,86.2,0.42862735863407675,12.6,210.9
195.0,15.7,183.4,3.869614622245399,6.260326780627313,7.2,120.6,0.38289788491530236,8.5,93.1,0.38500420640341926,15.7,213.7
200.0,15.5,185.8,3.996259742256581,6.181020740356557,7.0,109.4,0.34801479733691565,8.5,114.9,0.40050086210890645,15.5,224.3
205.0,15.9,209.7,5.047889708164017,5.759047516566347,7.0,117.1,0.3557027583435748,8.9,137.3,0.3583377592127284,15.9,254.4
210.0,16.6,228.7,5.319085182243077,5.180734803651498,6.8,113.6,0.3618692577904437,9.8,163.6,0.28154530436520175,16.6,277.2
215.0,17.0,241.8,5.342163913231055,5.057629839217585,6.2,103.7,0.38382581326891385,10.8,182.5,0.2147801048982952,17.0,286.2
220.0,18.3,276.7,5.764491608545507,5.770519857956094,7.0,100.2,0.47931420674083125,11.3,213.4,0.21436989271431134,18.3,313.6
225.0,16.8,270.9,5.424550892922049,5.899286661005074,6.6,98.4,0.44625397339034806,10.2,221.6,0.2634120989745091,16.8,320.0
230.0,16.0,274.9,5.072049273694742,6.117268232690056,6.1,102.7,0.4538885921453256,9.9,222.8,0.3080861313187066,16.0,325.5
235.0,16.2,246.3,4.458045874953804,6.679354941240982,7.8,110.4,0.4404680469043494,8.4,210.4,0.40859545288560045,16.2,320.8
240.0,14.8,185.2,3.454667257141991,7.0415272677377345,8.1,114.1,0.4163505924875651,6.7,167.8,0.45986711572492167,14.8,281.9
245.0,17.0,177.1,3.2189386518253817,6.01529556054097,9.3,118.4,0.344477096236531,7.7,145.8,0.33421926013024533,17.0,264.2
250.0,21.8,215.2,3.873551268299425,5.5231760586594785,12.0,145.2,0.3498751178560934,9.8,138.3,0.2385064692435198,21.8,283.5
255.0,23.3,248.8,4.259610664592516,5.313926933596026,12.9,163.1,0.3417558703099376,10.4,153.9,0.2310815596814811,23.3,317.0
260.0,23.4,281.5,4.947856593667857,5.536902171757115,13.6,185.6,0.3360545860453464,9.8,175.5,0.2800124467200417,23.4,361.1
265.0,24.1,298.9,4.936601216572183,5.241016571342994,15.1,204.9,0.3039778761762332,9.0,185.0,0.2644247663060755,24.1,389.9
270.0,25.8,328.8,5.075865719728852,5.337026499964433,17.0,235.6,0.2780859672301893,8.8,180.1,0.32671031250716076,25.8,415.7
275.0,22.9,312.8,4.804428265621719,5.781634790630661,15.3,253.8,0.27323117185524864,7.6,165.9,0.4422120103892458,22.9,419.7
280.0,20.9,284.6,4.340281910563704,5.954068821887679,14.0,251.2,0.2859717519143252,6.9,162.2,0.4470013176824562,20.9,413.4
