step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J17_stopped,J17_accumulated_waiting_time,J17_average_speed,J18_stopped,J18_accumulated_waiting_time,J18_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,14.124818000034434,0,0.0,1.0,0,0.0,0.9692288524165873,0,0.0
10.0,0,0.0,0.0,13.803639958635683,0,0.0,0.9418416853123927,0,0.0,0.9660386292963378,0,0.0
15.0,0,0.0,0.0,13.383836328792171,0,0.0,0.9633433754244833,0,0.0,0.9087974775706392,0,0.0
20.0,0,0.0,0.0,10.4334946441282,0,0.0,0.6568455157984756,0,0.0,0.8880685561190972,0,0.0
25.0,3,5.0,0.3333333333333333,8.49360081657879,2,4.0,0.5490132856133846,1,1.0,0.6890043563168031,3,5.0
30.0,5,24.0,1.2,8.600450590255054,3,17.0,0.6185476326971628,2,7.0,0.6205772634758016,5,24.0
35.0,7,55.0,2.391304347826087,7.777903146873365,4,33.0,0.5172075582840683,3,22.0,0.5347639916087424,7,55.0
40.0,8,75.0,2.8846153846153846,7.430142087723917,5,55.0,0.36865562093750365,3,20.0,0.6272193176574585,8,75.0
45.0,7,86.0,2.9655172413793105,6.638507606535109,3,59.0,0.3666057157085506,4,39.0,0.5149904750571614,7,98.0
50.0,9,89.0,2.870967741935484,6.291338536181743,6,77.0,0.42967622850835185,3,28.0,0.4226973007840556,9,105.0
55.0,10,94.0,2.9375,7.219167230882954,3,72.0,0.6108021912382608,7,43.0,0.257464891067738,10,115.0
60.0,11,124.0,3.875,6.539669247469207,6,78.0,0.40572062216992166,5,65.0,0.4037758158498741,11,143.0
65.0,9,107.0,3.242424242424242,6.637992477004961,4,53.0,0.4854164542957498,5,74.0,0.35932776367487457,9,127.0
70.0,11,122.0,3.2972972972972974,6.55835611354845,7,71.0,0.3386933217138473,4,74.0,0.540238220289696,11,145.0
75.0,12,139.0,3.5641025641025643,6.960156651742871,7,80.0,0.3604196456381614,5,92.0,0.5739351567915517,12,172.0
80.0,14,131.0,3.119047619047619,6.86603467093312,10,107.0,0.3691038584223361,4,56.0,0.5739106175438201,14,163.0
85.0,13,125.0,2.9069767441860463,6.283520394406484,7,102.0,0.33302418830622676,6,63.0,0.48666214962846416,13,165.0
90.0,11,114.0,2.533333333333333,6.268728742810239,4,65.0,0.3404767922566852,7,87.0,0.3791388430233383,11,152.0
95.0,15,136.0,2.9565217391304346,6.382924054879725,5,66.0,0.41269361758679957,10,127.0,0.23520045498646402,15,193.0
100.0,17,176.0,3.6666666666666665,6.2835066894183385,8,80.0,0.4310877713666643,9,150.0,0.23215146999911948,17,230.0
105.0,15,217.0,4.717391304347826,6.312505248919244,6,84.0,0.4127389584117123,9,177.0,0.3953155191434861,15,261.0
110.0,11,196.0,4.170212765957447,7.398442846208829,5,57.0,0.41734172934552766,6,180.0,0.5034605830352709,11,237.0
115.0,11,231.0,5.5,7.79850063476981,5,70.0,0.4421984353221279,6,164.0,0.3922572283951732,11,234.0
120.0,12,120.0,2.926829268292683,5.783777855533669,5,49.0,0.281182213283716,7,145.0,0.23499709660489287,12,194.0
125.0,16,105.0,2.5,5.675287798815199,9,73.0,0.18614893778941177,7,92.0,0.2453744498331199,16,165.0
130.0,10,118.0,3.0256410256410255,6.170780134032164,6,97.0,0.37737610780482556,4,100.0,0.4572179537166968,10,197.0
135.0,14,169.0,4.828571428571428,7.181737102627783,7,101.0,0.5147384949187891,7,125.0,0.3532771665733177,14,226.0
140.0,10,173.0,5.088235294117647,6.836894816486523,4,98.0,0.572736856784877,6,115.0,0.29322468047599454,10,213.0
