step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J17_stopped,J17_accumulated_waiting_time,J17_average_speed,J18_stopped,J18_accumulated_waiting_time,J18_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,14.162541120595753,0,0.0,1.0,0,0.0,0.9818665977903699,0,0.0
10.0,0,0.0,0.0,13.106946785305409,0,0.0,0.9075929671947947,0,0.0,0.9784562291506553,0,0.0
15.0,0,0.0,0.0,13.042484485218699,0,0.0,0.9304553962658579,0,0.0,0.9509748805441116,0,0.0
20.0,0,0.0,0.0,12.40733927029674,0,0.0,0.9220793277366519,0,0.0,0.9033001240804279,0,0.0
25.0,2,4.0,0.26666666666666666,8.138386486308764,1,2.0,0.5116858275098809,1,2.0,0.6965553031682055,2,4.0
30.0,3,17.0,0.85,8.54040717015651,2,10.0,0.5779005396771403,1,7.0,0.822691119955547,3,17.0
35.0,5,36.0,1.565217391304348,9.197935149947835,3,23.0,0.5775239708764978,2,13.0,0.6942715404630093,5,36.0
40.0,6,53.0,2.0384615384615383,8.313556511232576,3,28.0,0.5055858864964803,3,25.0,0.6457004701993522,6,53.0
45.0,11,97.0,3.3448275862068964,6.702556437046374,6,53.0,0.3534955794633841,5,44.0,0.42555942832423327,11,97.0
50.0,11,105.0,3.3870967741935485,5.046322912108001,5,53.0,0.27804260505871486,6,66.0,0.34102703616217844,11,119.0
55.0,12,160.0,5.161290322580645,6.942410827856843,5,68.0,0.39906259164492086,7,95.0,0.4072358649985667,12,163.0
60.0,12,171.0,5.516129032258065,6.583068011098395,4,60.0,0.4233202324439113,8,131.0,0.36369805888335044,12,191.0
65.0,15,240.0,7.2727272727272725,6.515451225265671,5,67.0,0.4830308488368571,10,179.0,0.35550464583747393,15,246.0
70.0,14,272.0,7.555555555555555,5.06817533958985,5,92.0,0.3326144393720978,9,187.0,0.38660184684469123,14,279.0
75.0,16,270.0,7.105263157894737,5.757820234912688,4,71.0,0.37086778775913193,12,238.0,0.4533478831530755,16,309.0
80.0,12,160.0,3.8095238095238093,6.506405267565784,3,47.0,0.6638221420557653,9,194.0,0.35094800102739654,12,241.0
85.0,12,156.0,3.391304347826087,6.986467732645864,3,65.0,0.6244529007724933,9,142.0,0.2909412316829308,12,207.0
90.0,17,238.0,4.958333333333333,6.810745369104258,4,82.0,0.5440872705937941,13,166.0,0.27872763627827807,17,248.0
95.0,20,331.0,7.355555555555555,5.877682947654741,5,104.0,0.5082480411002854,15,236.0,0.18501447281000252,20,340.0
100.0,20,381.0,8.282608695652174,5.30144559198532,7,132.0,0.46243732615132893,13,279.0,0.23288880967494946,20,411.0
105.0,21,391.0,8.319148936170214,5.458726551128293,7,85.0,0.4597448622775715,14,323.0,0.3355079739378098,21,408.0
110.0,21,369.0,7.235294117647059,6.059076316553123,10,128.0,0.38786906938703036,11,323.0,0.4599357260808198,21,451.0
115.0,17,287.0,5.857142857142857,5.648786036027577,9,118.0,0.2632961772481256,8,235.0,0.45250812553590547,17,353.0
120.0,24,389.0,7.78,5.484365787343315,13,153.0,0.179191726539479,11,254.0,0.3224753638394279,24,407.0
125.0,29,519.0,10.38,5.035332455748725,14,219.0,0.03855893485467109,15,312.0,0.24072429047862412,29,531.0
130.0,26,452.0,9.04,4.945435971445857,16,294.0,0.12651600350412762,10,264.0,0.24372008301227796,26,558.0
135.0,24,467.0,10.152173913043478,4.6894145330563255,15,365.0,0.24660052597833548,9,182.0,0.23453802978704724,24,547.0
140.0,25,590.0,13.720930232558139,4.2897566323683485,14,429.0,0.32101232150038794,11,179.0,0.18912646284613036,25,608.0
145.0,26,550.0,11.956521739130435,3.805098768677458,13,406.0,0.2798483434298724,13,239.0,0.21306558261417677,26,645.0
150.0,18,346.0,7.688888888888889,4.483671181593348,5,291.0,0.32137797475090113,13,304.0,0.2212847143209945,18,595.0
155.0,16,316.0,6.723404255319149,5.432831299714609,6,174.0,0.408699629472623,10,302.0,0.2326787827434163,16,476.0
160.0,20,389.0,7.938775510204081,6.569545032448776,8,113.0,0.4730887537104789,12,285.0,0.18689782203391245,20,398.0
165.0,23,497.0,10.574468085106384,6.062506797034098,10,157.0,0.415787786921815,13,349.0,0.21783304236878728,23,506.0
170.0,24,615.0,13.369565217391305,5.610899385749921,11,210.0,0.40312886015956295,13,414.0,0.19414216410667193,24,624.0
175.0,24,735.0,16.333333333333332,4.349789773074462,11,262.0,0.23784535938681292,13,479.0,0.18902734869986135,24,741.0
180.0,22,509.0,10.829787234042554,4.5422325389651075,11,240.0,0.26048023121811287,11,417.0,0.28745997703212434,22,657.0
185.0,15,415.0,8.3,6.839415870735008,7,182.0,0.41690518733052523,8,320.0,0.4302243306107428,15,502.0
190.0,16,483.0,9.66,6.792497541970984,7,207.0,0.39523527604120434,9,322.0,0.48702103482329695,16,529.0
195.0,20,575.0,10.849056603773585,6.459045459573137,9,246.0,0.4968853547508174,11,373.0,0.33430377312384396,20,619.0
200.0,20,428.0,8.392156862745098,4.53027489158923,7,251.0,0.3822853825060616,13,305.0,0.1911163191723473,20,556.0
