step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J17_stopped,J17_accumulated_waiting_time,J17_average_speed,J18_stopped,J18_accumulated_waiting_time,J18_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
4.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0
8.0,1,0.0,0.0,2.8313080370814228,1,0.0,0.0,0,0.0,0.3258895266308951,1,0.0
12.0,0,0.0,0.0,8.908974059034604,0,0.0,0.42130216297225687,0,0.0,0.8588482011236069,0,0.0
16.0,0,0.0,0.0,11.463677507136655,0,0.0,0.9869012428430519,0,0.0,0.6881758928630696,0,0.0
20.0,0,0.0,0.0,12.770612482131165,0,0.0,0.9358832163929858,0,0.0,0.85465529819041,0,0.0
24.0,1,0.0,0.0,8.159898181281052,0,0.0,0.5813879149227462,1,0.0,0.5931408415762885,1,0.0
28.0,2,2.0,0.2,8.668765352463547,2,2.0,0.43195545253791173,0,0.0,0.885049406492685,2,2.0
32.0,1,6.0,0.6,8.886458013702754,1,6.0,0.6576645230196527,0,0.0,0.6314167444281118,1,6.0
36.0,2,13.0,1.3,10.00208151098305,1,10.0,0.7658004064465346,1,3.0,0.6990381973683852,2,13.0
40.0,3,22.0,2.0,8.572413068113226,1,14.0,0.695369546660998,2,8.0,0.5715930991010428,3,22.0
44.0,5,34.0,2.0,5.621266589342267,3,18.0,0.48090561999556314,2,16.0,0.33014646032790895,5,34.0
48.0,4,37.0,1.9473684210526316,7.934196447797894,1,22.0,0.7082597836575363,3,15.0,0.5076129673568925,4,37.0
52.0,5,47.0,2.238095238095238,9.075234137586117,3,27.0,0.6577316044145424,2,21.0,0.5692627689102742,5,48.0
56.0,5,61.0,2.5416666666666665,9.126100552258519,1,31.0,0.728364446801443,4,31.0,0.5292287584559923,5,62.0
60.0,4,77.0,2.9615384615384617,9.283342072926946,1,35.0,0.7775258229138695,3,43.0,0.5313072095762077,4,78.0
64.0,7,96.0,3.2,7.29263353749774,2,39.0,0.5608160331253754,5,58.0,0.44498309699694744,7,97.0
68.0,10,131.0,4.517241379310345,7.525978606100138,2,47.0,0.5918004049830784,8,85.0,0.46984666191630686,10,132.0
72.0,13,177.0,6.103448275862069,6.556802156860338,3,56.0,0.5055537674333486,10,121.0,0.3431328086742951,13,177.0
76.0,14,228.0,7.862068965517241,5.774992169331318,4,69.0,0.47787322298199125,10,159.0,0.2739315893068586,14,228.0
80.0,16,288.0,9.931034482758621,4.78901006942692,4,85.0,0.3827788573067934,12,203.0,0.17409927419007498,16,288.0
84.0,20,363.0,12.1,3.6900408108458387,6,107.0,0.3365878658156629,14,256.0,0.0697583882595931,20,363.0
88.0,21,443.0,13.84375,3.3184817437018417,6,131.0,0.34344152648394816,15,312.0,0.04581874305038455,21,443.0
92.0,16,340.0,11.333333333333334,3.3964423203069822,5,127.0,0.3565804711917047,11,269.0,0.11078942454913258,16,396.0
96.0,16,361.0,11.28125,5.064338006080176,7,154.0,0.3849165986341961,9,248.0,0.19555835822612191,16,402.0
100.0,16,421.0,12.382352941176471,5.083731812752066,7,182.0,0.3589404755424409,9,247.0,0.2055776832501797,16,429.0
104.0,18,491.0,14.441176470588236,5.000992170599137,9,218.0,0.37601560295594244,9,275.0,0.22205418175500108,18,493.0
108.0,20,566.0,15.297297297297296,5.321549487620423,9,254.0,0.4103596325084431,11,314.0,0.24595805705371726,20,568.0
112.0,19,642.0,18.34285714285714,4.813446936891212,9,290.0,0.4175009595697794,10,354.0,0.28881401791506156,19,644.0
116.0,21,723.0,20.65714285714286,4.466482834735066,11,331.0,0.34651575012295655,10,394.0,0.30658595632753993,21,725.0
120.0,24,811.0,21.91891891891892,3.314218014876816,11,375.0,0.2379906517251993,13,438.0,0.22686295824625796,24,813.0
124.0,26,912.0,24.0,3.2270562524234583,14,428.0,0.20654192910925087,12,486.0,0.23567235677372977,26,914.0
128.0,28,1020.0,26.153846153846153,2.999496452193016,15,486.0,0.1824057607031495,13,536.0,0.22915421193358476,28,1022.0
132.0,29,1133.0,27.634146341463413,2.9317069565429508,15,546.0,0.19412802017788464,14,589.0,0.2125590983288256,29,1135.0
136.0,26,928.0,22.634146341463413,2.7895735083688766,13,435.0,0.13080933846104856,13,495.0,0.254493557471278,26,930.0
140.0,23,746.0,19.128205128205128,3.791858897280787,12,384.0,0.12659545467374064,11,417.0,0.28983679535201373,23,801.0
144.0,25,840.0,20.0,4.47290774551532,13,397.0,0.09492811114068284,12,448.0,0.30289178612604467,25,845.0
148.0,26,940.0,21.363636363636363,4.555901477537632,13,449.0,0.10559927033457865,13,496.0,0.3078596088118382,26,945.0
152.0,27,1045.0,23.22222222222222,4.587887711580707,14,502.0,0.12927745929349824,13,548.0,0.3483167780711512,27,1050.0
156.0,27,1153.0,25.622222222222224,3.9806392604969654,14,558.0,0.16542604928253554,13,600.0,0.33134481403339516,27,1158.0
160.0,28,1261.0,26.829787234042552,3.6071253073023413,14,614.0,0.1767694937062225,14,652.0,0.3012147428753132,28,1266.0
164.0,32,1381.0,28.183673469387756,3.5393763715106994,15,674.0,0.22301719674775894,17,712.0,0.21188613008588886,32,1386.0
