step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J17_stopped,J17_accumulated_waiting_time,J17_average_speed,J18_stopped,J18_accumulated_waiting_time,J18_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
4.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0
8.0,1,0.0,0.0,2.4415639637193336,1,0.0,0.0,0,0.0,0.2565903377211991,1,0.0
12.0,0,0.0,0.0,8.701642229814453,0,0.0,0.378294695340085,0,0.0,0.8484321044823346,0,0.0
16.0,0,0.0,0.0,10.864963659716269,0,0.0,0.9263735073726808,0,0.0,0.6729731268640183,0,0.0
20.0,0,0.0,0.0,12.890758264371346,0,0.0,0.9637290152344494,0,0.0,0.9351948313087007,0,0.0
24.0,1,0.0,0.0,8.494631921623142,0,0.0,0.6819818620450938,1,0.0,0.6070955788523524,1,0.0
28.0,1,1.0,0.1111111111111111,7.963704344143281,1,1.0,0.37526026267464374,0,0.0,0.8660479603322611,1,1.0
32.0,1,5.0,0.5,9.535663383730022,1,5.0,0.6275326755965691,0,0.0,0.8184911913243121,1,5.0
36.0,1,9.0,0.9,10.957251872232534,1,9.0,0.7505411922540701,0,0.0,0.972293900008852,1,9.0
40.0,1,13.0,1.1818181818181819,9.535916391380523,1,13.0,0.7351011415969956,0,0.0,0.7170411888051708,1,13.0
44.0,5,21.0,1.2352941176470589,6.456570048696405,3,17.0,0.5591941279235287,2,4.0,0.3967187145493235,5,21.0
48.0,6,34.0,1.7894736842105263,7.860800280030709,2,22.0,0.6467154991655972,4,12.0,0.5399610522015454,6,34.0
52.0,6,50.0,2.380952380952381,7.724379897842725,4,30.0,0.5057328959538194,2,20.0,0.6153856655803481,6,50.0
56.0,7,71.0,2.9583333333333335,7.740450580078938,4,43.0,0.5574353470097017,3,28.0,0.5863741429415915,7,71.0
60.0,4,76.0,2.923076923076923,7.559372247385661,2,40.0,0.6213288017960523,2,36.0,0.5582087443276768,4,76.0
64.0,6,87.0,2.806451612903226,7.430003814506844,3,39.0,0.4022851050443664,3,48.0,0.5858606028042899,6,87.0
68.0,5,62.0,2.066666666666667,9.495784702725834,1,2.0,0.595980164287179,4,61.0,0.6553131921098634,5,63.0
72.0,10,86.0,2.774193548387097,8.607478059807148,2,7.0,0.5826540395741769,8,80.0,0.47974899300323637,10,87.0
76.0,7,47.0,1.5161290322580645,8.00784977330626,1,6.0,0.6280383934088763,6,42.0,0.42055005697611364,7,48.0
80.0,7,64.0,2.2857142857142856,7.123043486958875,2,16.0,0.610274641936147,5,54.0,0.3071222247839114,7,70.0
84.0,7,62.0,2.3846153846153846,6.108018022771548,1,5.0,0.6221825831013521,6,57.0,0.29126010264278684,7,62.0
88.0,8,85.0,3.1481481481481484,7.158906507076336,1,4.0,0.7081062506232618,7,84.0,0.2902022919336703,8,88.0
92.0,5,93.0,3.4444444444444446,7.824524117867698,0,0.0,0.8800703359948238,5,96.0,0.30027655554344695,5,96.0
96.0,7,116.0,4.0,8.758968749377955,0,3.0,0.8163156168683546,7,122.0,0.4075547254093428,7,125.0
100.0,7,101.0,3.3666666666666667,8.556865994464932,1,4.0,0.8201791108198349,6,106.0,0.44140479557941753,7,110.0
104.0,4,38.0,1.3571428571428572,8.484275787528937,1,4.0,0.6828408579862774,3,85.0,0.4721574716785849,4,89.0
108.0,4,39.0,1.3448275862068966,9.446689230564523,1,8.0,0.6188865517119023,3,58.0,0.6261168957885992,4,66.0
112.0,4,55.0,1.8333333333333333,9.176576734637882,2,9.0,0.6302544175321982,2,41.0,0.5862115163836713,4,50.0
116.0,7,77.0,2.6551724137931036,8.41594495332309,3,22.0,0.5630120806794718,4,50.0,0.4703610573258236,7,72.0
120.0,9,93.0,3.3214285714285716,7.168180044681057,2,12.0,0.6315342483016061,7,69.0,0.354041320428692,9,81.0
124.0,5,56.0,2.0,7.824863953529935,1,13.0,0.69431882152583,4,31.0,0.4421471817060942,5,44.0
128.0,6,28.0,1.0,8.47558309023012,3,7.0,0.6451232489996228,3,24.0,0.49090748016816604,6,31.0
132.0,8,54.0,1.8620689655172413,7.689237814811352,4,17.0,0.5291652075325366,4,40.0,0.41020073482029135,8,57.0
136.0,10,89.0,3.0689655172413794,7.787977615213681,6,37.0,0.4749917379192737,4,56.0,0.4750009104034014,10,93.0
140.0,9,85.0,3.269230769230769,6.007555864262198,6,61.0,0.34815609597531216,3,28.0,0.49138137574264984,9,89.0
144.0,9,80.0,2.962962962962963,6.402634206418644,6,64.0,0.42387426333463246,3,20.0,0.4831022721212277,9,84.0
148.0,4,63.0,2.25,8.511063174247349,2,53.0,0.5600593539259724,2,23.0,0.5486971428017235,4,76.0
152.0,4,57.0,2.0357142857142856,8.673627151417001,1,33.0,0.5292302875186847,3,32.0,0.5428826105789104,4,65.0
156.0,4,16.0,0.5333333333333333,8.284974547821802,3,13.0,0.4618163257654308,1,11.0,0.671973681131349,4,24.0
160.0,5,12.0,0.3870967741935484,7.8677851042898235,3,15.0,0.44507847588900024,2,4.0,0.6721955015911796,5,19.0
164.0,3,3.0,0.1,7.774197250847449,1,9.0,0.6419094720362545,2,1.0,0.42367855141890426,3,10.0
168.0,5,18.0,0.5625,9.26094661351754,3,15.0,0.6658801744890723,2,9.0,0.5673264911776731,5,24.0
172.0,2,17.0,0.4857142857142857,9.396310805164543,0,6.0,0.645981861058294,2,17.0,0.6768139878085533,2,23.0
176.0,2,6.0,0.16666666666666666,9.921966439296423,2,9.0,0.6167626277006587,0,3.0,0.8117513787133893,2,12.0
180.0,3,12.0,0.375,9.9306055141111,2,15.0,0.7626686991120482,1,3.0,0.6942299465312979,3,18.0
