step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J17_stopped,J17_accumulated_waiting_time,J17_average_speed,J18_stopped,J18_accumulated_waiting_time,J18_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
4.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0
8.0,1,0.0,0.0,2.0355365620382755,1,0.0,0.0,0,0.0,0.20555662267135588,1,0.0
12.0,0,0.0,0.0,7.548443360649982,0,0.0,0.3650234909229112,0,0.0,0.6882219448937159,0,0.0
16.0,0,0.0,0.0,10.53640493486726,0,0.0,0.809445732344235,0,0.0,0.690191111234484,0,0.0
20.0,0,0.0,0.0,12.409986183721943,0,0.0,0.9178605285098935,0,0.0,0.8493335015395288,0,0.0
24.0,1,0.0,0.0,9.165931259849037,0,0.0,0.7878115831925042,1,0.0,0.5544878951923189,1,0.0
28.0,0,0.0,0.0,8.188693432008444,0,0.0,0.3802035810026804,0,0.0,0.8024704704523795,0,0.0
32.0,1,4.0,0.4,9.728466250440787,1,4.0,0.6068072924737468,0,0.0,0.7642326450954998,1,4.0
36.0,2,10.0,1.0,10.622523044760241,1,8.0,0.7549462532514923,1,2.0,0.7294136080096132,2,10.0
40.0,2,18.0,1.6363636363636365,8.552709727627773,1,12.0,0.6807326751421776,1,6.0,0.5066527533045695,2,18.0
44.0,6,29.0,1.7058823529411764,5.740682390540397,3,16.0,0.4800711080058324,3,13.0,0.3359271441188129,6,29.0
48.0,7,48.0,2.526315789473684,5.918230316549311,2,23.0,0.5472595934268678,5,25.0,0.3355323675586531,7,48.0
52.0,9,74.0,3.5238095238095237,5.9248243521213935,5,35.0,0.4650340838490729,4,39.0,0.41647949105908355,9,74.0
56.0,10,106.0,4.416666666666667,5.582018167788262,4,49.0,0.41017983370905603,6,57.0,0.4064975698459756,10,106.0
60.0,10,145.0,5.576923076923077,6.486143445580532,5,68.0,0.4747448246160067,5,77.0,0.41319790914215476,10,145.0
64.0,12,187.0,6.032258064516129,5.988332593938041,6,88.0,0.2791218415200435,6,99.0,0.4513210404327013,12,187.0
68.0,12,233.0,7.516129032258065,6.497467391564611,6,110.0,0.31703086027656996,6,123.0,0.4817699516439886,12,233.0
72.0,17,291.0,9.09375,5.280579065089505,7,135.0,0.26025192276974124,10,156.0,0.3621417866398218,17,291.0
76.0,18,362.0,11.67741935483871,3.670612173963434,8,167.0,0.28504285202404633,10,195.0,0.2369856662914215,18,362.0
80.0,21,443.0,14.290322580645162,3.304887133871699,8,199.0,0.3181454197907262,13,244.0,0.1573870565024724,21,443.0
84.0,19,384.0,12.0,2.968479420046676,7,170.0,0.3284457249617653,12,214.0,0.14106316225606014,19,384.0
88.0,15,335.0,9.571428571428571,4.549539849681253,6,147.0,0.41036681637262307,9,211.0,0.15352271574915669,15,358.0
92.0,15,393.0,11.228571428571428,5.731403617665068,6,171.0,0.48025424386977644,9,245.0,0.13711193591162033,15,416.0
96.0,20,464.0,12.54054054054054,5.111256068943081,8,199.0,0.38629449700523083,12,288.0,0.1141894501769606,20,487.0
100.0,22,545.0,13.974358974358974,4.363173331945279,9,232.0,0.31889280504121936,13,336.0,0.09953244402008463,22,568.0
104.0,24,639.0,17.75,3.4820862395808723,11,274.0,0.2467581186706565,13,388.0,0.19510522595305332,24,662.0
108.0,25,735.0,20.416666666666668,3.3256771199604973,11,318.0,0.2628832118688639,14,440.0,0.20402737400505283,25,758.0
112.0,25,834.0,21.94736842105263,2.9969272921496852,12,365.0,0.18621838612386074,13,492.0,0.23445645464469528,25,857.0
116.0,25,879.0,23.13157894736842,2.8434857126257533,12,380.0,0.23819756099895373,13,510.0,0.19247630033022134,25,890.0
120.0,21,888.0,22.76923076923077,4.038572347764165,8,397.0,0.28389800952371863,13,529.0,0.22899501189586208,21,926.0
124.0,21,969.0,24.225,4.217864329528075,9,430.0,0.29500047460718054,12,577.0,0.21038809421081348,21,1007.0
128.0,24,1063.0,25.926829268292682,4.35581729554649,10,469.0,0.3189077441322129,14,632.0,0.16985915839166546,24,1101.0
132.0,26,1167.0,27.785714285714285,4.131718679969416,10,506.0,0.28413386241239186,16,696.0,0.2068893626671981,26,1202.0
136.0,27,1272.0,31.024390243902438,3.2123349953274905,11,547.0,0.14743750263993088,16,760.0,0.2122688740304909,27,1307.0
140.0,31,1391.0,34.775,2.6299109179175115,13,597.0,0.11557194097698235,18,829.0,0.1900441494750204,31,1426.0
144.0,32,1469.0,34.976190476190474,1.8326920391131902,13,614.0,0.06940331284365538,19,861.0,0.14226850318758005,32,1475.0
148.0,25,1507.0,35.88095238095238,3.370680676847095,9,631.0,0.23093196621015455,16,906.0,0.20127750186847668,25,1537.0
152.0,26,1601.0,37.23255813953488,3.75635997019255,10,668.0,0.29707330982737296,16,963.0,0.16986706074788888,26,1631.0
156.0,29,1713.0,36.4468085106383,3.7665720337294446,11,710.0,0.31098642686990546,18,1033.0,0.146858491641793,29,1743.0
160.0,26,1367.0,26.80392156862745,3.895615382067764,8,517.0,0.37991219667701587,18,873.0,0.13828210220355336,26,1390.0
164.0,17,718.0,14.07843137254902,5.532072642938994,6,397.0,0.5478260042264249,11,755.0,0.23106108355096622,17,1152.0
168.0,16,748.0,14.11320754716981,6.22510753697979,8,422.0,0.5436768989764755,8,754.0,0.3384913206381635,16,1176.0
172.0,19,819.0,14.625,6.35993772836956,7,452.0,0.49341336432755456,12,797.0,0.3712632257528173,19,1249.0
176.0,23,909.0,15.947368421052632,6.749423462932796,8,484.0,0.5639771936493377,15,852.0,0.3694780878268428,23,1336.0
180.0,26,1004.0,17.614035087719298,6.145156037361963,9,517.0,0.5699037620679525,17,914.0,0.31109613367917716,26,1431.0
184.0,28,1107.0,18.76271186440678,5.403670111023701,10,549.0,0.4808714767434122,18,981.0,0.26548583697370315,28,1530.0
188.0,28,1183.0,20.050847457627118,4.791476715060996,9,582.0,0.36225052027551463,19,858.0,0.2433289374151195,28,1440.0
192.0,28,1166.0,19.76271186440678,4.654852069993867,13,624.0,0.3030683553337913,15,772.0,0.19078301857884053,28,1396.0
196.0,26,1246.0,21.859649122807017,4.924049634059188,12,657.0,0.3870335850923716,14,825.0,0.22682465179011319,26,1482.0
200.0,28,1331.0,23.767857142857142,4.322271712468502,9,685.0,0.36982194221540915,19,892.0,0.1579991518613023,28,1577.0
204.0,32,1136.0,19.92982456140351,3.2465720247924263,11,692.0,0.29792943688668894,21,690.0,0.12295802057764556,32,1382.0
208.0,27,751.0,12.728813559322035,3.9522545792639048,10,611.0,0.34355980110157824,17,575.0,0.13728719155328245,27,1186.0
212.0,22,753.0,12.982758620689655,4.845738024020427,10,633.0,0.3062723407699803,12,461.0,0.30030249255931096,22,1094.0
216.0,19,727.0,12.116666666666667,5.884217221605756,11,672.0,0.39818018422394336,8,426.0,0.35113434982192254,19,1098.0
220.0,24,587.0,9.46774193548387,6.071952204964653,9,482.0,0.45609229518238537,15,476.0,0.36331355851272135,24,958.0
224.0,26,233.0,3.819672131147541,5.3487232104496645,7,349.0,0.4342067329427364,19,545.0,0.32033155390416446,26,894.0
228.0,27,285.0,4.672131147540983,4.745313129727646,8,374.0,0.3803459249155449,19,569.0,0.29704983807662677,27,943.0
232.0,32,369.0,6.049180327868853,4.542160159282896,11,411.0,0.28587518693303726,21,620.0,0.29807008745583524,32,1031.0
236.0,37,506.0,7.90625,4.653498999697133,14,463.0,0.31911158904708553,23,699.0,0.2347474866870428,37,1162.0
240.0,35,554.0,8.523076923076923,4.345357177423544,12,455.0,0.36074208352199694,23,707.0,0.20978180594779128,35,1162.0
244.0,26,489.0,7.640625,4.587571388242256,6,441.0,0.3837275007130761,20,720.0,0.18629369724428618,26,1161.0
248.0,34,603.0,9.136363636363637,4.734872845652092,8,437.0,0.4216593337255635,26,809.0,0.21482652776035596,34,1246.0
252.0,35,729.0,11.390625,4.815455574895562,10,472.0,0.4404190668588629,25,906.0,0.21368420646291475,35,1378.0
256.0,37,871.0,13.196969696969697,4.942203892151435,10,509.0,0.5081071295269434,27,1008.0,0.16940224396150136,37,1517.0
260.0,40,1022.0,15.029411764705882,4.125952939950605,11,546.0,0.40494286256785844,29,1119.0,0.13684261455079222,40,1665.0
264.0,43,1183.0,16.661971830985916,4.231378682667404,12,587.0,0.3872970366872034,31,1239.0,0.1389796133950528,43,1826.0
268.0,47,1359.0,19.985294117647058,3.530292300167292,14,631.0,0.31168788986872714,33,1368.0,0.12384101398553608,47,1999.0
272.0,44,1449.0,21.0,3.5820752671767897,12,607.0,0.3088958650288667,32,1420.0,0.15026479253570216,44,2027.0
276.0,41,1525.0,22.10144927536232,3.575312294304547,11,599.0,0.35398925075320675,30,1516.0,0.12464468332348225,41,2115.0
280.0,41,1565.0,23.014705882352942,3.520828468112632,9,571.0,0.4089737891573249,32,1586.0,0.14508799214892262,41,2157.0
284.0,40,1662.0,24.441176470588236,3.6435505580507233,12,611.0,0.383529431140706,28,1660.0,0.14943497109949896,40,2271.0
288.0,41,1758.0,25.114285714285714,4.386880157558511,10,438.0,0.4535158406363689,31,1762.0,0.15745131011877803,41,2200.0
292.0,38,1692.0,23.17808219178082,4.468477218663164,7,324.0,0.48500078003232294,31,1877.0,0.1239639225204644,38,2201.0
296.0,42,1800.0,23.376623376623378,4.509643588994536,8,349.0,0.44875498588351065,34,2006.0,0.1545555068219405,42,2355.0
300.0,46,1974.0,25.973684210526315,3.7786937601659165,12,387.0,0.3580430789225639,34,2142.0,0.15995674390768785,46,2529.0
304.0,50,2094.0,27.92,3.1085092455973395,15,387.0,0.2457967149999798,35,2259.0,0.19785106010843378,50,2646.0
308.0,43,2170.0,28.933333333333334,2.998052229968329,10,402.0,0.2569254216504791,33,2367.0,0.1448789974528838,43,2769.0
312.0,51,2356.0,30.5974025974026,2.8494688391153575,11,440.0,0.2810300814804182,40,2517.0,0.1022074565245562,51,2957.0
316.0,55,2568.0,33.78947368421053,2.744572323265969,16,496.0,0.2200130331288435,39,2673.0,0.0922324297116368,55,3169.0
320.0,57,2771.0,35.52564102564103,2.5751462337733404,17,532.0,0.22114830430759738,40,2805.0,0.04574134282257048,57,3337.0
324.0,50,2940.0,38.68421052631579,2.9725545726680647,11,565.0,0.30872134665084094,39,2959.0,0.06121838666792651,50,3524.0
328.0,52,3137.0,40.74025974025974,3.0795016965418482,12,607.0,0.3238215120012353,40,3116.0,0.054316768870146664,52,3723.0
332.0,56,3350.0,42.94871794871795,2.738206836623983,16,657.0,0.29311834525799957,40,3276.0,0.04529216664141193,56,3933.0
336.0,57,3550.0,43.292682926829265,2.6941986482297113,18,688.0,0.28979308636958284,39,3426.0,0.03339674632953675,57,4114.0
340.0,53,3734.0,46.098765432098766,3.1386912721217417,13,731.0,0.3767119264115388,40,3582.0,0.02973801496298239,53,4313.0
344.0,55,3940.0,48.641975308641975,2.8194812416182486,15,782.0,0.3102280950012982,40,3740.0,0.04842810980679458,55,4522.0
348.0,60,4170.0,51.48148148148148,2.6068879445558344,20,849.0,0.2642739524318647,40,3900.0,0.0810422645585469,60,4749.0
352.0,62,4122.0,49.66265060240964,2.2528947031188054,23,908.0,0.21141584850342818,39,3688.0,0.08173364494358815,62,4596.0
356.0,52,3185.0,37.916666666666664,2.635133072758867,20,957.0,0.19644119903624713,32,3472.0,0.10140291118618235,52,4429.0
360.0,44,2256.0,26.857142857142858,3.4612138407059607,18,922.0,0.19483238842992864,26,2940.0,0.11385543120191934,44,3862.0
364.0,37,1648.0,19.162790697674417,4.10438274038398,16,906.0,0.22091519413607946,21,3025.0,0.12567186846110825,37,3931.0
368.0,34,1224.0,14.232558139534884,4.427667245007493,17,949.0,0.18274491283529373,17,3099.0,0.14165469971787953,34,4048.0
372.0,36,1111.0,12.48314606741573,4.835726110251975,15,990.0,0.19811907136632476,21,3172.0,0.18317092737038868,36,4162.0
376.0,40,1208.0,14.046511627906977,4.318116867484678,18,1030.0,0.15739166906449406,22,3252.0,0.19935480717882534,40,4282.0
380.0,40,1188.0,14.142857142857142,4.26656733080379,16,1073.0,0.2279400583861942,24,3178.0,0.21719276345704,40,4251.0
384.0,41,1126.0,14.075,4.072642568205082,16,1133.0,0.27748739629191344,25,3133.0,0.19726516257068133,41,4266.0
388.0,47,1301.0,16.2625,3.4616747516917172,15,1192.0,0.2807580361678829,32,3249.0,0.1513430417814947,47,4441.0
392.0,52,1501.0,18.304878048780488,3.642006421177243,16,1254.0,0.3167212993248575,36,3387.0,0.13827239717835474,52,4641.0
396.0,57,1718.0,20.698795180722893,3.2596320880468728,18,1322.0,0.2692136356656758,39,3536.0,0.13920398025131245,57,4858.0
400.0,60,1948.0,23.75609756097561,2.577647444754124,20,1395.0,0.26745899998924066,40,3693.0,0.09888518176869711,60,5088.0
404.0,61,1983.0,23.32941176470588,2.604836958098139,17,1139.0,0.27886878805271176,44,3865.0,0.09083773878931595,61,5004.0
408.0,56,1675.0,19.476744186046513,2.8922089446946657,12,952.0,0.29497343587269353,44,4036.0,0.11696398027347496,56,4988.0
412.0,52,1534.0,17.431818181818183,3.093374116570296,8,974.0,0.33793932885857336,44,4200.0,0.11164463299528984,52,5174.0
