step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J17_stopped,J17_accumulated_waiting_time,J17_average_speed,J18_stopped,J18_accumulated_waiting_time,J18_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,1,0.0,0.0,2.079743837181013,0,0.0,1.0,1,0.0,0.15031580956811572,1,0.0
10.0,0,0.0,0.0,7.74588615116851,0,0.0,0.4976429121083304,0,0.0,0.6426312482706876,0,0.0
15.0,1,0.0,0.0,9.608943639165044,0,0.0,0.7646449549279081,1,0.0,0.6360847102731133,1,0.0
20.0,0,0.0,0.0,10.805854673255967,0,0.0,0.8124334945079965,0,0.0,0.7284198177972049,0,0.0
25.0,0,0.0,0.0,7.8091996919526245,0,0.0,0.5045450128404787,0,0.0,0.629727008474242,0,0.0
30.0,6,16.0,0.8,6.995765472445285,5,11.0,0.42313728312097637,1,5.0,0.5820361421632286,6,16.0
35.0,3,28.0,1.2173913043478262,7.770832410389792,2,18.0,0.5497451042588818,1,10.0,0.6255811294712571,3,28.0
40.0,6,49.0,1.8846153846153846,8.39671390724754,3,34.0,0.6296665256042658,3,17.0,0.5426544665857796,6,51.0
45.0,9,66.0,2.2758620689655173,6.689087923734432,4,35.0,0.40651571396494646,5,33.0,0.47462370951591293,9,68.0
50.0,14,120.0,3.6363636363636362,6.0848298638185065,7,62.0,0.2769869963788414,7,60.0,0.3845511504458572,14,122.0
55.0,10,106.0,3.3125,5.3895715996731735,5,81.0,0.35858116204610013,5,49.0,0.31964308477552966,10,130.0
60.0,12,164.0,5.125,6.647951295942041,5,106.0,0.3470508844172622,7,61.0,0.3701104099865616,12,167.0
65.0,10,122.0,3.588235294117647,5.840739140964044,5,98.0,0.4140388706986376,5,64.0,0.2240434977405514,10,162.0
70.0,13,154.0,3.948717948717949,6.564128375406737,7,106.0,0.39969056982695145,6,64.0,0.3536862072626592,13,170.0
75.0,12,202.0,5.611111111111111,5.742520611684527,7,139.0,0.32634468373284453,5,84.0,0.4823023766057003,12,223.0
80.0,14,144.0,3.5121951219512195,6.040900824948833,7,106.0,0.3711601079856123,7,106.0,0.48390841914965266,14,212.0
85.0,12,130.0,3.0952380952380953,5.803702583352322,7,88.0,0.36673944574148254,5,78.0,0.43053253955535903,12,166.0
90.0,17,198.0,4.304347826086956,6.32458412081307,10,136.0,0.35807307323525356,7,86.0,0.4517432048314668,17,222.0
95.0,22,275.0,5.978260869565218,5.229045448842875,10,170.0,0.35162598485591606,12,128.0,0.2965103093684077,22,298.0
100.0,22,326.0,6.653061224489796,4.467797139779486,12,226.0,0.3368760015571066,10,144.0,0.21386286785094,22,370.0
105.0,25,355.0,6.96078431372549,4.206923997425565,15,217.0,0.22909489805943903,10,156.0,0.27027156105188416,25,373.0
110.0,26,381.0,6.803571428571429,4.6614303810275475,18,299.0,0.18503650789437326,8,144.0,0.3830680568230067,26,443.0
115.0,24,430.0,7.962962962962963,5.020401619693301,19,368.0,0.1294795548197197,5,101.0,0.533170636811655,24,469.0
120.0,28,561.0,10.584905660377359,4.706699775674953,22,473.0,0.11097858436663277,6,109.0,0.4382514137745257,28,582.0
125.0,29,520.0,9.62962962962963,4.740642014348269,18,476.0,0.128584526921262,11,141.0,0.23333716019097378,29,617.0
130.0,18,298.0,5.622641509433962,5.133315345668576,9,371.0,0.16526463898992041,9,174.0,0.2607663899119454,18,545.0
135.0,16,256.0,5.224489795918367,6.404277844532063,5,245.0,0.3549218259739997,11,202.0,0.15463968074991818,16,447.0
140.0,15,221.0,5.0227272727272725,6.722545339788274,5,157.0,0.5118736722265307,10,190.0,0.1369742414034618,15,347.0
145.0,14,230.0,5.609756097560975,6.925148673291474,6,126.0,0.48434508931876696,8,162.0,0.1570927898820312,14,288.0
150.0,17,302.0,7.55,6.219504783998057,9,137.0,0.3497309757659868,8,167.0,0.23662697733659224,17,304.0
155.0,17,386.0,9.897435897435898,5.748869504448417,9,181.0,0.4265651310658038,8,205.0,0.21018770688993307,17,386.0
160.0,15,323.0,8.075,5.630150357665859,11,234.0,0.3953221485997071,4,150.0,0.32669258856537936,15,384.0
165.0,15,348.0,8.923076923076923,5.810065738899225,12,297.0,0.3502442819335006,3,54.0,0.3966040052798313,15,351.0
170.0,16,345.0,8.214285714285714,5.220147976220021,12,309.0,0.2942129125616995,4,73.0,0.35628078283724046,16,382.0
175.0,17,410.0,9.318181818181818,5.7271794157314355,11,314.0,0.31134574513140717,6,101.0,0.4169823021685623,17,415.0
180.0,19,472.0,10.042553191489361,5.1456663254446395,11,352.0,0.21533918574459973,8,135.0,0.4226380943338281,19,487.0
185.0,21,568.0,11.833333333333334,5.770113531557037,12,398.0,0.2842975099451198,9,175.0,0.4303910282784133,21,573.0
190.0,17,298.0,5.8431372549019605,5.044406809095457,10,305.0,0.26577775999973985,7,120.0,0.30968724044112955,17,425.0
195.0,17,199.0,3.826923076923077,5.929279806649651,9,224.0,0.23098651334901668,8,100.0,0.3843670173318622,17,324.0
