step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J17_stopped,J17_accumulated_waiting_time,J17_average_speed,J18_stopped,J18_accumulated_waiting_time,J18_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,1,0.0,0.0,2.004187491594348,0,0.0,1.0,1,0.0,0.13717079208888408,1,0.0
10.0,0,0.0,0.0,7.447703782907531,0,0.0,0.4117759957022821,0,0.0,0.6943553113136747,0,0.0
15.0,1,0.0,0.0,9.621975160318835,0,0.0,0.7595584051911138,1,0.0,0.6249034934618329,1,0.0
20.0,0,0.0,0.0,10.693278340382362,0,0.0,0.7979815200315501,0,0.0,0.7691693382966345,0,0.0
25.0,1,1.0,0.06666666666666667,7.922927103507847,1,1.0,0.4962537611982493,0,0.0,0.6311593212116138,1,1.0
30.0,5,11.0,0.55,6.733141617753924,4,8.0,0.4388233375344702,1,3.0,0.5454336904465621,5,11.0
35.0,4,30.0,1.3043478260869565,8.27233692962658,3,22.0,0.5809088883073831,1,8.0,0.611776384439581,4,30.0
40.0,6,39.0,1.5,7.793181128775339,3,27.0,0.6004858265853903,3,15.0,0.46927325809361314,6,42.0
45.0,10,75.0,2.6785714285714284,6.519996237839207,5,47.0,0.3498376204368712,5,31.0,0.481371387456679,10,78.0
50.0,11,94.0,2.9375,5.793089047155674,5,46.0,0.3257722334295665,6,56.0,0.3680207094749901,11,102.0
55.0,14,137.0,4.28125,6.0313656610887225,6,65.0,0.3376183836024253,8,86.0,0.33868027355156993,14,151.0
60.0,11,151.0,4.71875,6.29712134864811,4,62.0,0.36766713494374365,7,112.0,0.3640038746093216,11,174.0
65.0,15,218.0,6.228571428571429,5.845587164683435,6,72.0,0.3576400234871974,9,155.0,0.32785566118334103,15,227.0
70.0,19,304.0,8.0,4.773562968892069,8,107.0,0.25812649487219846,11,203.0,0.2833199452884896,19,310.0
75.0,14,205.0,5.256410256410256,5.506713699461704,6,106.0,0.30487124003899063,8,171.0,0.40953804387145454,14,277.0
