step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J17_stopped,J17_accumulated_waiting_time,J17_average_speed,J18_stopped,J18_accumulated_waiting_time,J18_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,1,0.0,0.0,1.7793826281675138,0,0.0,1.0,1,0.0,0.12247160688718611,1,0.0
10.0,0,0.0,0.0,7.154359368797547,0,0.0,0.39623280740856853,0,0.0,0.6060183660921821,0,0.0
15.0,1,0.0,0.0,9.904941992292205,0,0.0,0.7809457974875014,1,0.0,0.6317018041715882,1,0.0
20.0,0,0.0,0.0,10.827777906513898,0,0.0,0.8160836802959537,0,0.0,0.721649601358387,0,0.0
25.0,1,2.0,0.13333333333333333,8.71260377096446,1,2.0,0.5502510222356052,0,0.0,0.7019266956268723,1,2.0
30.0,6,14.0,0.7,7.381979569466838,4,11.0,0.4975933957520475,2,3.0,0.5790568460337762,6,14.0
35.0,4,30.0,1.3043478260869565,7.846883023105664,3,23.0,0.5450867519630276,1,7.0,0.5497265288296784,4,30.0
40.0,6,38.0,1.4615384615384615,7.633252235685682,3,27.0,0.6014056602445844,3,14.0,0.427114726216972,6,41.0
45.0,11,76.0,2.6206896551724137,6.8573226782166445,6,47.0,0.3542755666860577,5,32.0,0.49788080631975884,11,79.0
50.0,12,101.0,3.15625,5.047025705135148,6,55.0,0.26015951549155425,6,56.0,0.3271513923220942,12,111.0
55.0,15,155.0,4.84375,4.993063647389061,8,82.0,0.2808642105256055,7,85.0,0.33308342553159337,15,167.0
60.0,12,195.0,6.09375,5.971254029482182,5,95.0,0.37589193472213606,7,110.0,0.38941412581553403,12,205.0
65.0,15,259.0,7.617647058823529,5.551478453992445,6,115.0,0.34371629956598426,9,147.0,0.24700752818014987,15,262.0
70.0,20,351.0,9.236842105263158,4.839888636154798,9,155.0,0.2599162601809705,11,196.0,0.2265720477341128,20,351.0
75.0,17,305.0,7.625,4.851264933990068,9,199.0,0.213686080825558,8,165.0,0.345168757649309,17,364.0
80.0,15,187.0,4.560975609756097,5.615541248427143,9,163.0,0.28692688826128865,6,117.0,0.45549729197609196,15,280.0
85.0,15,240.0,5.454545454545454,6.723826895350864,7,116.0,0.4634492078799139,8,130.0,0.4309002653310571,15,246.0
90.0,17,321.0,6.829787234042553,6.5095795879679175,7,151.0,0.4431675228824778,10,176.0,0.41567612666758136,17,327.0
95.0,18,294.0,6.25531914893617,5.101742044216325,10,197.0,0.3410544116970679,8,140.0,0.37030546572139056,18,337.0
100.0,17,240.0,5.0,4.746780913335717,10,174.0,0.33985450927726063,7,122.0,0.30975618703753105,17,296.0
105.0,27,352.0,6.901960784313726,4.70802665670102,15,206.0,0.34918121955356063,12,161.0,0.28319728893581486,27,367.0
110.0,29,379.0,6.767857142857143,3.8441989515013844,15,216.0,0.17953458078701987,14,226.0,0.32978510764263014,29,442.0
115.0,26,413.0,7.509090909090909,3.8751629428442245,11,191.0,0.15652558515296774,15,297.0,0.29592864992787027,26,488.0
120.0,20,332.0,5.824561403508772,4.289096962173193,5,165.0,0.240095697097241,15,324.0,0.21816328678223662,20,489.0
125.0,21,357.0,6.375,4.833817328995936,10,172.0,0.137122495041098,11,314.0,0.2430923198400126,21,486.0
130.0,30,488.0,8.872727272727273,4.68863391731659,16,242.0,0.04129363557178954,14,337.0,0.2722031706638058,30,579.0
135.0,28,575.0,10.267857142857142,4.600649816108211,16,303.0,0.150634361547761,12,373.0,0.2261945882799758,28,676.0
140.0,29,708.0,13.358490566037736,4.991135473426816,15,376.0,0.26683451127988644,14,426.0,0.2676608922252398,29,802.0
145.0,25,510.0,10.0,4.136302201448295,13,363.0,0.31921926976484266,12,361.0,0.19370362946444458,25,724.0
150.0,25,496.0,9.72549019607843,4.835641772189082,14,433.0,0.26714766287585134,11,250.0,0.2939558830198473,25,683.0
155.0,26,496.0,9.358490566037736,4.244168814628412,14,419.0,0.28192931288026546,12,262.0,0.20699443118482827,26,681.0
160.0,21,348.0,6.327272727272727,4.147969341887643,7,342.0,0.2742155971801868,14,286.0,0.14436176364370265,21,628.0
165.0,23,424.0,7.851851851851852,4.731257501323826,6,193.0,0.3899390031238279,17,366.0,0.1679050403317277,23,559.0
170.0,21,380.0,6.909090909090909,5.541438537499221,8,147.0,0.3831496456565737,13,358.0,0.22169074942712017,21,505.0
175.0,22,450.0,8.49056603773585,6.007298456441598,9,150.0,0.360453401236768,13,313.0,0.2211584643663714,22,463.0
180.0,24,411.0,7.611111111111111,5.179735765402724,12,203.0,0.2851121735628409,12,290.0,0.22868479020386542,24,493.0
185.0,20,365.0,7.019230769230769,6.263298867196476,12,262.0,0.3391952604519097,8,196.0,0.37469797649219394,20,458.0
190.0,20,450.0,8.823529411764707,5.545866733985774,12,306.0,0.213626330304503,8,143.0,0.32139025467616494,20,449.0
195.0,28,559.0,10.547169811320755,5.2696106359608335,16,373.0,0.17313371695550372,12,197.0,0.3609417262099544,28,570.0
200.0,27,520.0,10.612244897959183,3.9754947123887656,14,356.0,0.17027599115108316,13,254.0,0.2759615746861615,27,610.0
205.0,21,443.0,9.425531914893616,4.4989499127398895,10,258.0,0.28095202245873147,11,271.0,0.29730385302577256,21,529.0
210.0,23,530.0,11.27659574468085,5.071669711987398,11,271.0,0.22823409440824652,12,278.0,0.3787366445502212,23,549.0
215.0,19,485.0,9.509803921568627,5.009223998853479,9,275.0,0.2536838450335499,10,290.0,0.3645958015476483,19,565.0
220.0,23,565.0,10.865384615384615,5.254552531997645,9,254.0,0.44372092284547116,14,333.0,0.18997972660265736,23,587.0
225.0,27,653.0,11.872727272727273,4.611378898643339,11,292.0,0.4137475727168558,16,387.0,0.099899029407152,27,679.0
230.0,23,747.0,12.661016949152541,5.68297792960414,11,340.0,0.39450820704308465,12,425.0,0.2358277728454209,23,765.0
235.0,26,648.0,10.983050847457626,4.806898995671153,15,404.0,0.27592088403612197,11,312.0,0.2848628503739263,26,716.0
240.0,28,594.0,9.737704918032787,4.9960736501034395,19,498.0,0.23338035722452466,9,260.0,0.3325073416025372,28,758.0
245.0,31,681.0,11.163934426229508,3.610692736772679,21,579.0,0.24915581217953164,10,220.0,0.19533716800740303,31,799.0
250.0,31,797.0,12.65079365079365,4.402646661990007,19,623.0,0.3122389801964997,12,215.0,0.18176450854335216,31,838.0
255.0,35,808.0,11.882352941176471,4.313218860795461,21,632.0,0.3027047527332516,14,265.0,0.1548835824599256,35,897.0
260.0,32,826.0,11.8,5.08434460490992,20,633.0,0.31702421953196785,12,276.0,0.243551114458243,32,909.0
265.0,31,857.0,12.070422535211268,4.685546963443968,23,722.0,0.24996656558528632,8,238.0,0.3466033185137193,31,960.0
270.0,29,863.0,11.506666666666666,4.551190705965564,20,786.0,0.24054341725529083,9,206.0,0.34182519132742595,29,992.0
275.0,29,596.0,7.842105263157895,5.302703284552023,20,678.0,0.24112191299153612,9,185.0,0.4132174657360565,29,863.0
280.0,29,343.0,4.341772151898734,5.147876819103975,20,464.0,0.1871822165467815,9,219.0,0.40035101659259603,29,683.0
285.0,38,496.0,6.2784810126582276,5.32786768433834,26,403.0,0.21230388571665548,12,270.0,0.3316983259397536,38,673.0
290.0,40,541.0,6.935897435897436,4.6140000698786245,30,491.0,0.1614547798313362,10,231.0,0.3438885366771075,40,722.0
295.0,42,657.0,8.532467532467532,4.3257842871521195,29,594.0,0.1403650423549366,13,214.0,0.34113408593874633,42,808.0
300.0,35,654.0,8.72,4.439474056407867,23,641.0,0.21933457091630007,12,225.0,0.27937876337524736,35,866.0
305.0,31,736.0,10.366197183098592,4.256031474274847,21,703.0,0.18327071833031225,10,242.0,0.2011336863028828,31,945.0
310.0,38,874.0,12.13888888888889,3.354405335453508,28,820.0,0.09969957566236326,10,277.0,0.16740466862382386,38,1097.0
