step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J17_stopped,J17_accumulated_waiting_time,J17_average_speed,J18_stopped,J18_accumulated_waiting_time,J18_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,1,0.0,0.0,1.5177395286154933,0,0.0,1.0,1,0.0,0.09999863144499782,1,0.0
10.0,0,0.0,0.0,6.224865418300033,0,0.0,0.330462914771166,0,0.0,0.5311156082316656,0,0.0
15.0,1,0.0,0.0,9.224042767270276,0,0.0,0.7022616285602151,1,0.0,0.5935346315887139,1,0.0
20.0,0,0.0,0.0,10.714646786856315,0,0.0,0.7907707571221327,0,0.0,0.7194915539646866,0,0.0
25.0,0,0.0,0.0,8.033401981352135,0,0.0,0.47717063090589884,0,0.0,0.6824746399749457,0,0.0
30.0,6,9.0,0.45,7.298858439917765,5,8.0,0.44602530440423194,1,1.0,0.6107143052059384,6,9.0
35.0,5,28.0,1.2173913043478262,7.97791831907919,3,23.0,0.5445387448407687,2,5.0,0.5739122013227886,5,28.0
40.0,7,54.0,2.076923076923077,7.4327860028399435,3,41.0,0.507980359895922,4,16.0,0.48629574259288205,7,57.0
45.0,9,74.0,2.5517241379310347,6.9827106859800985,6,66.0,0.35606444701248874,3,11.0,0.6159805755298755,9,77.0
50.0,10,95.0,2.878787878787879,6.811120114954385,6,79.0,0.4537381392317625,4,25.0,0.43620334502041985,10,104.0
55.0,13,152.0,4.606060606060606,6.643415691060359,7,110.0,0.4360138572650329,6,51.0,0.3906587178614823,13,161.0
60.0,10,120.0,3.75,6.105143282519658,4,93.0,0.43738483269612277,6,67.0,0.3645813833807567,10,160.0
65.0,10,148.0,4.228571428571429,6.247368880638328,5,86.0,0.311956201197736,5,69.0,0.28817436449065686,10,155.0
70.0,14,176.0,4.512820512820513,6.674805305929622,8,115.0,0.27776632473467466,6,70.0,0.29200971267360737,14,185.0
75.0,14,233.0,5.5476190476190474,7.748268143893217,7,153.0,0.3885399592447289,7,87.0,0.40591214360664113,14,240.0
80.0,13,241.0,5.878048780487805,6.935572570351306,8,161.0,0.38678725601916913,5,105.0,0.5004697753618116,13,266.0
