step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J17_stopped,J17_accumulated_waiting_time,J17_average_speed,J18_stopped,J18_accumulated_waiting_time,J18_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,11.347326538325753,0,0.0,1.0,0,0.0,0.9488975382916693,0,0.0
10.0,0,0.0,0.0,13.043589917165479,0,0.0,0.9498923848801443,0,0.0,0.9452243758670549,0,0.0
15.0,0,0.0,0.0,12.813238659772782,0,0.0,0.9296833297836888,0,0.0,0.949064382146019,0,0.0
20.0,0,0.0,0.0,11.132245160218,0,0.0,0.7986852096696594,0,0.0,0.9348611366985485,0,0.0
25.0,3,6.0,0.4,8.947326079273475,2,5.0,0.5833579412900819,1,1.0,0.7381983739582435,3,6.0
30.0,6,23.0,1.15,8.551586112231822,4,16.0,0.5824449290912173,2,7.0,0.652529631870245,6,23.0
35.0,6,52.0,2.260869565217391,6.608402920366514,3,31.0,0.445165857716545,3,21.0,0.4903157907154064,6,52.0
40.0,9,84.0,3.36,7.036420238596333,6,58.0,0.330010824780811,3,26.0,0.6543663394613889,9,84.0
45.0,10,100.0,3.5714285714285716,6.180396101425095,5,66.0,0.423318213811618,5,46.0,0.46732509299893343,10,112.0
50.0,11,104.0,3.25,5.976184167870446,8,89.0,0.37007676494154806,3,34.0,0.4075968927770756,11,123.0
55.0,9,99.0,3.09375,7.11742907785809,3,79.0,0.5710564480616435,6,45.0,0.28993712398374727,9,124.0
60.0,8,116.0,3.515151515151515,7.145104405688781,4,79.0,0.4704894727589668,4,56.0,0.39194750057901834,8,135.0
65.0,8,139.0,4.088235294117647,7.436363758868101,4,90.0,0.48951032583375975,4,65.0,0.49688931628269944,8,155.0
70.0,10,153.0,4.135135135135135,7.690711842600517,7,117.0,0.4149154650029327,3,58.0,0.6605614173474257,10,175.0
75.0,9,163.0,4.17948717948718,7.589937838740689,5,119.0,0.45223225315464344,4,73.0,0.6045997960135717,9,192.0
80.0,10,202.0,4.926829268292683,8.361796743405424,3,114.0,0.6124716017074476,7,103.0,0.511095153826612,10,217.0
85.0,10,85.0,1.8888888888888888,6.739692032166311,4,70.0,0.4759032457221973,6,79.0,0.33591908586769625,10,149.0
