step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J17_stopped,J17_accumulated_waiting_time,J17_average_speed,J18_stopped,J18_accumulated_waiting_time,J18_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
4.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0
8.0,1,0.0,0.0,2.609589079643289,1,0.0,0.0,0,0.0,0.3028856347118569,1,0.0
12.0,0,0.0,0.0,8.19436143339129,0,0.0,0.4380485744757553,0,0.0,0.7925151484666669,0,0.0
16.0,0,0.0,0.0,10.629218265392877,0,0.0,0.8998396560556362,0,0.0,0.7051424761524573,0,0.0
20.0,0,0.0,0.0,12.122379887413903,0,0.0,0.9390914642592341,0,0.0,0.8536292625419116,0,0.0
24.0,1,0.0,0.0,8.819901319882979,0,0.0,0.7393062942213589,1,0.0,0.5618854341600867,1,0.0
28.0,1,0.0,0.0,8.464548415630588,1,0.0,0.4318769830612502,0,0.0,0.8439790076517437,1,0.0
32.0,1,3.0,0.3,9.28290915517724,1,3.0,0.6663981813146258,0,0.0,0.6906313033544048,1,3.0
36.0,1,7.0,0.7,9.692034358893748,1,7.0,0.749473794373441,0,0.0,0.6829705940893802,1,7.0
40.0,3,16.0,1.4545454545454546,8.408392007907784,1,11.0,0.6927375556840755,2,5.0,0.5676411863742059,3,16.0
44.0,6,30.0,1.7647058823529411,6.032092824438103,3,15.0,0.5542711925500154,3,15.0,0.34053448357276384,6,30.0
48.0,6,46.0,2.4210526315789473,7.04140020040055,1,19.0,0.6994793741921059,5,27.0,0.3609211814812358,6,46.0
52.0,7,65.0,3.0952380952380953,6.905912432060494,3,23.0,0.47144157768621997,4,42.0,0.5065632837755198,7,65.0
56.0,9,92.0,3.8333333333333335,6.59203439688812,3,32.0,0.5038367710996221,6,60.0,0.44840327862721924,9,92.0
60.0,9,127.0,4.884615384615385,6.868905737917255,4,47.0,0.4949178167779785,5,80.0,0.457140225742689,9,127.0
64.0,7,80.0,2.6666666666666665,6.40945029750547,3,21.0,0.35094052564500133,4,59.0,0.5836091733755819,7,80.0
68.0,7,103.0,3.433333333333333,8.52454685007197,3,35.0,0.4205556476237116,4,71.0,0.7014927661503164,7,106.0
72.0,9,132.0,4.258064516129032,8.120347284456345,3,47.0,0.5187060324355895,6,88.0,0.5479687824519657,9,135.0
76.0,10,168.0,5.419354838709677,7.205489485330173,3,59.0,0.5855833455984225,7,112.0,0.4138006215078786,10,171.0
80.0,11,203.0,6.548387096774194,6.930020649649807,3,71.0,0.6218820555213631,8,135.0,0.3414075020814199,11,206.0
84.0,13,250.0,8.620689655172415,5.7795641835755145,4,87.0,0.5716233632006952,9,169.0,0.26775151234174455,13,256.0
88.0,12,204.0,6.580645161290323,5.646343501367869,3,98.0,0.6168169694528477,9,112.0,0.2725387140592149,12,210.0
92.0,10,193.0,6.225806451612903,6.133192028402289,5,120.0,0.5105386100659393,5,105.0,0.3677745926781377,10,225.0
96.0,13,240.0,7.2727272727272725,6.591325300548025,6,140.0,0.561037237842455,7,112.0,0.3461472328644643,13,252.0
100.0,15,291.0,8.314285714285715,5.89878181689281,7,165.0,0.47973827310035577,8,138.0,0.2861170433818407,15,303.0
104.0,17,355.0,9.86111111111111,5.440362222665779,9,200.0,0.40419406771213406,8,167.0,0.315346560869087,17,367.0
108.0,19,333.0,8.763157894736842,4.70677987631247,11,240.0,0.29912864782837045,8,104.0,0.3648072704866498,19,344.0
112.0,14,307.0,8.078947368421053,5.120773234443326,12,287.0,0.22225139760928075,2,65.0,0.5179178472109255,14,352.0
116.0,18,376.0,10.444444444444445,5.196096215851899,16,348.0,0.1799132640611179,2,39.0,0.5312858784523432,18,387.0
120.0,22,457.0,12.026315789473685,4.624605774262473,17,416.0,0.1498776018079225,5,49.0,0.37306154547478804,22,465.0
124.0,21,406.0,10.41025641025641,4.131540102437226,16,346.0,0.12500245006978403,5,68.0,0.29836076221506636,21,414.0
128.0,17,247.0,6.5,4.316771190807311,10,300.0,0.12342437797061034,7,92.0,0.29222264502465967,17,392.0
132.0,11,212.0,5.578947368421052,5.6940597287536345,4,239.0,0.231392321292458,7,120.0,0.31002473523346674,11,359.0
136.0,10,245.0,6.805555555555555,7.6160102643443865,3,163.0,0.3543863062876152,7,148.0,0.39591109773790795,10,311.0
140.0,11,287.0,8.2,7.1971081185361525,4,109.0,0.19675669458035897,7,176.0,0.2811532119576539,11,285.0
144.0,14,338.0,10.242424242424242,6.849494668264759,4,119.0,0.24000821291197738,10,211.0,0.2485157930635364,14,330.0
148.0,13,390.0,12.1875,6.823502285600817,4,126.0,0.3485524820381644,9,247.0,0.276135633920173,13,373.0
152.0,14,442.0,14.258064516129032,6.434505319502437,5,142.0,0.3982048080678065,9,283.0,0.31745352411035616,14,425.0
156.0,12,402.0,14.357142857142858,5.175453225151856,4,158.0,0.4416934811948598,8,228.0,0.3492685815613444,12,386.0
160.0,11,390.0,12.580645161290322,5.942890318738804,4,180.0,0.49976298997107627,7,200.0,0.3843319032505195,11,380.0
164.0,13,434.0,13.151515151515152,6.0293396523760885,5,199.0,0.5431473454321977,8,225.0,0.29569680078846733,13,424.0
168.0,14,484.0,13.444444444444445,6.507735820630184,7,221.0,0.5510413047190226,7,253.0,0.34034375543499323,14,474.0
172.0,14,537.0,13.425,5.976483759847669,6,242.0,0.4314886861773634,8,282.0,0.41049177422903993,14,524.0
176.0,16,596.0,14.536585365853659,6.211319293119618,9,277.0,0.4722723698907019,7,309.0,0.40281374355304433,16,586.0
180.0,19,666.0,15.857142857142858,6.237521647801886,9,313.0,0.5102567845679195,10,343.0,0.38736210120984105,19,656.0
184.0,20,740.0,16.818181818181817,5.158658344081327,10,349.0,0.43812230961266463,10,381.0,0.29961043269403076,20,730.0
188.0,20,714.0,15.866666666666667,4.959882229260326,10,385.0,0.3076227900207832,10,316.0,0.30853768916682667,20,701.0
192.0,20,715.0,15.212765957446809,5.917932836609703,13,432.0,0.3114377773448889,7,299.0,0.3393430050419361,20,731.0
196.0,21,796.0,16.93617021276596,5.938601493211131,13,484.0,0.3174106715820942,8,299.0,0.23721710765284643,21,783.0
200.0,23,883.0,18.395833333333332,6.050931718706363,13,532.0,0.30752925047292123,10,334.0,0.2192707451587047,23,866.0
204.0,25,858.0,19.066666666666666,4.305607373131682,15,582.0,0.21943212000428017,10,264.0,0.15368683871806965,25,846.0
208.0,26,736.0,16.355555555555554,3.1846725878496676,18,648.0,0.15465542186493936,8,212.0,0.10811832076937392,26,860.0
212.0,24,798.0,17.347826086956523,4.38257745983914,19,722.0,0.2407853829847497,5,125.0,0.2756097757035371,24,847.0
216.0,25,896.0,19.06382978723404,5.06603775717325,20,800.0,0.305348329475715,5,97.0,0.3778886126768212,25,897.0
220.0,26,997.0,19.94,5.362695995316391,21,881.0,0.3288762041322027,5,107.0,0.45863948627773515,26,988.0
224.0,29,1106.0,22.12,4.708241371474399,23,970.0,0.32195932010473927,6,127.0,0.37959945204340617,29,1097.0
228.0,28,1174.0,23.019607843137255,4.432921470283458,23,1063.0,0.3082739752603393,5,103.0,0.38882119610710775,28,1166.0
232.0,30,1290.0,25.294117647058822,4.0802463433307015,25,1162.0,0.23231657877100545,5,120.0,0.43843479443219274,30,1282.0
236.0,34,1415.0,27.21153846153846,3.409650880132307,28,1268.0,0.1472541588002727,6,136.0,0.2967504870347067,34,1404.0
240.0,34,1545.0,28.61111111111111,3.707033011386403,27,1377.0,0.15853834129819305,7,160.0,0.23548412601661808,34,1537.0
244.0,32,1394.0,25.814814814814813,4.186495782069354,26,1297.0,0.12332385666970089,6,89.0,0.34819798114539663,32,1386.0
248.0,29,1321.0,24.462962962962962,4.48467829564163,23,1280.0,0.1385757548559212,6,54.0,0.41575751066729544,29,1334.0
252.0,29,1437.0,27.11320754716981,5.048391059777987,24,1364.0,0.21032010051739097,5,74.0,0.48705758588495,29,1438.0
256.0,30,1553.0,29.30188679245283,4.739683338075706,24,1460.0,0.22686409447435155,6,94.0,0.45596525696191664,30,1554.0
260.0,30,1648.0,29.428571428571427,4.591303050471809,24,1541.0,0.23220200789669082,6,102.0,0.46880968068392476,30,1643.0
264.0,31,1765.0,30.43103448275862,5.1723706802042875,25,1637.0,0.25763913008427175,6,126.0,0.544767406969788,31,1763.0
268.0,31,1878.0,31.83050847457627,5.224139214509974,26,1735.0,0.2664097502888077,5,141.0,0.5757857514169147,31,1876.0
272.0,32,1755.0,30.25862068965517,4.053659592581055,25,1604.0,0.21385367778264,7,165.0,0.3836249683603543,32,1769.0
276.0,31,1463.0,24.796610169491526,4.15171452400555,22,1540.0,0.21836652054638686,9,191.0,0.32873400557473137,31,1731.0
280.0,28,1441.0,24.423728813559322,4.966030942794353,19,1439.0,0.2648180343328522,9,219.0,0.20745671567639898,28,1658.0
284.0,31,1561.0,25.59016393442623,5.3854907761185125,20,1443.0,0.27814494342925344,11,261.0,0.2571557340180611,31,1704.0
288.0,33,1685.0,28.083333333333332,4.591438829634254,21,1400.0,0.2367103710808006,12,305.0,0.2780490814245522,33,1705.0
292.0,35,1822.0,29.868852459016395,4.3735681704209375,23,1483.0,0.21985524740981793,12,353.0,0.3487779383267526,35,1836.0
296.0,39,1966.0,31.206349206349206,4.244547369658975,26,1579.0,0.1990162810960934,13,401.0,0.3889247327262853,39,1980.0
300.0,35,2051.0,32.55555555555556,4.1900475519827145,23,1626.0,0.237468994017282,12,439.0,0.3928312238508767,35,2065.0
304.0,34,2149.0,33.578125,5.0496429516092505,21,1692.0,0.25681692293717934,13,491.0,0.43447472691407346,34,2183.0
308.0,36,2228.0,33.75757575757576,4.008281800570858,22,1716.0,0.14236081643890755,14,546.0,0.3325427759416154,36,2262.0
312.0,41,2336.0,34.865671641791046,3.725920078776979,22,1763.0,0.1953825811173286,19,616.0,0.21004714824165063,41,2379.0
316.0,41,2478.0,37.54545454545455,3.280196739469688,21,1810.0,0.15036620576532164,20,688.0,0.19607789127669503,41,2498.0
320.0,42,2614.0,40.84375,3.416526534668676,21,1877.0,0.18406281544211436,21,767.0,0.18892309453524853,42,2644.0
324.0,40,2678.0,41.2,3.753165567967894,21,1945.0,0.2064067492899452,19,757.0,0.18455459582478628,40,2702.0
328.0,33,2631.0,40.47692307692308,4.548972267620028,21,2020.0,0.23239532104678348,12,747.0,0.24177030800628552,33,2767.0
332.0,29,2164.0,32.78787878787879,4.866900491348597,20,1631.0,0.24730863658626787,9,619.0,0.2783025296245814,29,2250.0
336.0,22,865.0,12.720588235294118,5.415165230205977,13,1404.0,0.3206721297321042,9,551.0,0.2740598265348733,22,1955.0
340.0,17,169.0,2.449275362318841,5.524983755428894,9,1443.0,0.34773663770331287,8,578.0,0.340412358271138,17,2021.0
344.0,26,219.0,3.2205882352941178,4.8314970895845635,17,1497.0,0.3017737057980443,9,609.0,0.3322991540866659,26,2106.0
348.0,31,308.0,4.666666666666667,4.108291296876358,21,1282.0,0.25657991902186494,10,531.0,0.3302837300557756,31,1813.0
352.0,26,337.0,5.106060606060606,4.508891129804053,18,1109.0,0.27180544775199617,8,458.0,0.34923155045825416,26,1567.0
356.0,21,387.0,5.608695652173913,5.252672311401904,15,681.0,0.29329844110615605,6,335.0,0.4104014005490207,21,1016.0
360.0,26,482.0,6.885714285714286,5.953272303302743,17,526.0,0.3793223828369731,9,241.0,0.40763259271031504,26,767.0
364.0,30,594.0,8.366197183098592,5.810234119847711,18,455.0,0.3409615829828449,12,256.0,0.4036544699575031,30,711.0
368.0,34,725.0,10.211267605633802,5.705334428127944,21,532.0,0.32006215152192924,13,266.0,0.4218658461424543,34,798.0
372.0,37,864.0,11.368421052631579,4.98231328306793,22,618.0,0.25708021416366705,15,319.0,0.3716220288171032,37,937.0
376.0,40,1015.0,13.012820512820513,4.627227759028973,25,711.0,0.2179304679255166,15,377.0,0.3655710649395392,40,1088.0
380.0,42,1070.0,13.717948717948717,4.1549475879493505,24,689.0,0.19620730177276588,18,447.0,0.35123799219752977,42,1136.0
