step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J17_stopped,J17_accumulated_waiting_time,J17_average_speed,J18_stopped,J18_accumulated_waiting_time,J18_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
4.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0
8.0,1,0.0,0.0,2.9007717407386124,1,0.0,0.0,0,0.0,0.32668935332869103,1,0.0
12.0,0,0.0,0.0,9.151928528220319,0,0.0,0.4279514221050156,0,0.0,0.9144690544842792,0,0.0
16.0,0,0.0,0.0,10.520427927570601,0,0.0,0.877971743058482,0,0.0,0.6661431906092038,0,0.0
20.0,0,0.0,0.0,12.607709607119315,0,0.0,0.9296575142366929,0,0.0,0.8711683266472484,0,0.0
24.0,2,1.0,0.125,7.422274097691236,0,0.0,0.6235306432344682,2,1.0,0.47663126986397925,2,1.0
28.0,3,6.0,0.6,6.77439813986889,2,1.0,0.30776233856287727,1,5.0,0.6217461365263748,3,6.0
32.0,1,5.0,0.45454545454545453,8.805208339454547,1,5.0,0.5707973434259318,0,0.0,0.7560484383322912,1,5.0
36.0,1,1.0,0.1,10.257141124042086,0,3.0,0.916446157771509,1,1.0,0.7023295964556924,1,4.0
40.0,1,5.0,0.45454545454545453,9.773552057044297,0,3.0,0.802509885402509,1,5.0,0.7075833491923647,1,8.0
44.0,4,9.0,0.5294117647058824,7.2749607739549464,3,3.0,0.5264003936899913,1,9.0,0.44706677308764536,4,12.0
48.0,3,4.0,0.21052631578947367,9.062525600677265,1,7.0,0.7590977649699925,2,0.0,0.4501349211803884,3,7.0
52.0,4,10.0,0.47619047619047616,9.948491119841776,3,14.0,0.6934733511450534,1,2.0,0.6871170410711113,4,16.0
56.0,3,18.0,0.782608695652174,9.89811943394805,1,15.0,0.7812342148585208,2,6.0,0.6030262999136322,3,21.0
60.0,1,10.0,0.4,10.591150779607364,0,3.0,0.934759530054612,1,10.0,0.6196272229962585,1,13.0
64.0,3,16.0,0.5333333333333333,9.18469904360595,1,3.0,0.5719283969694684,2,19.0,0.6061981613568894,3,22.0
68.0,7,33.0,1.1379310344827587,9.152648876690968,3,9.0,0.5209931387382951,4,30.0,0.5988989497326905,7,39.0
72.0,7,47.0,1.8076923076923077,7.717678957885037,4,22.0,0.30965509449574163,3,31.0,0.6704146638343441,7,53.0
76.0,6,56.0,2.1538461538461537,6.915776386808128,3,26.0,0.44946918731003144,3,42.0,0.4924715963171138,6,68.0
80.0,5,58.0,2.32,7.000791233975317,1,15.0,0.677017179191701,4,52.0,0.38421008624584585,5,67.0
84.0,7,79.0,2.925925925925926,7.725388793694631,2,29.0,0.642370452671784,5,65.0,0.30925787287416173,7,94.0
88.0,6,90.0,3.0,8.279464424587214,2,28.0,0.6425112834498368,4,68.0,0.3741949345393042,6,96.0
92.0,5,93.0,3.206896551724138,8.944553469449827,1,21.0,0.7112841193776115,4,84.0,0.34102339080333655,5,105.0
