step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J17_stopped,J17_accumulated_waiting_time,J17_average_speed,J18_stopped,J18_accumulated_waiting_time,J18_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
4.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0
8.0,1,0.0,0.0,2.4076403573543455,1,0.0,0.0,0,0.0,0.2486136346849139,1,0.0
12.0,0,0.0,0.0,8.910273955689608,0,0.0,0.3995459345797906,0,0.0,0.8080962049071976,0,0.0
16.0,0,0.0,0.0,11.651675773678399,0,0.0,0.9369700227425777,0,0.0,0.6892904943288655,0,0.0
20.0,0,0.0,0.0,13.410856998505603,0,0.0,0.9811977495872304,0,0.0,0.8559503824531086,0,0.0
24.0,1,0.0,0.0,8.534745294117227,0,0.0,0.5947775327150543,1,0.0,0.5807040816220925,1,0.0
28.0,1,2.0,0.2222222222222222,8.685291348460778,1,2.0,0.4094167946947593,0,0.0,0.87769515350771,1,2.0
32.0,1,6.0,0.6,9.415816033712343,1,6.0,0.6694790485521525,0,0.0,0.7319104032346724,1,6.0
36.0,1,10.0,1.0,11.839605019832401,1,10.0,0.7901095844188258,0,0.0,0.9460689157450333,1,10.0
40.0,0,0.0,0.0,10.89354781360913,0,0.0,0.8746470567573024,0,0.0,0.9385210829373808,0,0.0
44.0,3,0.0,0.0,8.485561570655397,3,0.0,0.6737752489097432,0,0.0,0.5051396720853234,3,0.0
48.0,3,1.0,0.05263157894736842,8.79356738915589,1,1.0,0.739159584806474,2,0.0,0.5578599036464736,3,1.0
52.0,4,6.0,0.2857142857142857,9.012285176169211,4,6.0,0.5748088009254843,0,0.0,0.7275924302315119,4,6.0
56.0,5,17.0,0.7391304347826086,7.991467962980789,3,15.0,0.5594442947239809,2,2.0,0.6230183674605524,5,17.0
60.0,5,37.0,1.48,8.561441140421648,4,31.0,0.591582772437667,1,6.0,0.6790528998897759,5,37.0
