w1,w2,system_total_waiting_time
0.0,0.0,338.12888888888887
0.0,0.1,357.59138888888884
0.0,0.2,348.8145833333333
0.0,0.3,328.9747222222222
0.0,0.4,353.8258333333334
0.0,0.5,350.65625
0.0,0.6,360.65347222222215
0.0,0.7,337.40444444444444
0.0,0.8,338.5938888888889
0.0,0.9,372.3859722222222
0.0,1.0,355.6898611111111
1.0,0.0,363.8436111111111
1.0,0.1,340.64236111111103
1.0,0.2,344.08569444444447
1.0,0.3,338.36569444444444
1.0,0.4,343.18416666666667
1.0,0.5,332.1348611111111
1.0,0.6,333.0961111111111
1.0,0.7,365.0491666666667
1.0,0.8,346.0568055555555
1.0,0.9,348.0891666666666
1.0,1.0,341.5115277777778
2.0,0.0,347.2738888888889
2.0,0.1,348.3881944444444
2.0,0.2,336.4515277777778
2.0,0.3,339.3854166666667
2.0,0.4,336.24069444444444
2.0,0.5,336.2372222222222
2.0,0.6,336.0077777777778
2.0,0.7,336.55597222222224
2.0,0.8,358.9340277777777
2.0,0.9,345.14972222222224
2.0,1.0,339.7315277777778
3.0,0.0,354.0645833333333
3.0,0.1,351.16083333333336
3.0,0.2,335.71083333333337
3.0,0.3,341.4404166666667
3.0,0.4,338.76388888888886
3.0,0.5,340.7345833333333
3.0,0.6,338.6951388888889
3.0,0.7,341.9393055555555
3.0,0.8,343.67958333333337
3.0,0.9,352.6723611111111
3.0,1.0,332.70888888888896
4.0,0.0,355.25430555555556
4.0,0.1,352.93013888888885
4.0,0.2,342.2609722222222
4.0,0.3,335.87458333333336
4.0,0.4,356.2104166666667
4.0,0.5,336.87319444444444
4.0,0.6,366.7031944444444
4.0,0.7,334.72916666666663
4.0,0.8,336.90694444444443
4.0,0.9,334.48
4.0,1.0,338.3070833333333
5.0,0.0,338.52458333333334
5.0,0.1,340.7045138888889
5.0,0.2,350.1759027777778
5.0,0.3,345.9504166666667
5.0,0.4,356.91666666666663
5.0,0.5,345.24354166666666
5.0,0.6,335.4464583333333
5.0,0.7,334.35361111111104
5.0,0.8,335.61541666666665
5.0,0.9,332.7840277777778
5.0,1.0,339.93097222222224
6.0,0.0,342.07472222222225
6.0,0.1,347.31083333333333
6.0,0.2,337.7637500000001
6.0,0.3,327.2680555555556
6.0,0.4,379.71388888888885
6.0,0.5,339.05875000000003
6.0,0.6,344.23819444444445
6.0,0.7,336.94638888888886
6.0,0.8,343.8213888888889
6.0,0.9,332.8209722222223
6.0,1.0,349.76041666666663
7.0,0.0,342.21000000000004
7.0,0.1,352.37055555555554
7.0,0.2,347.52694444444444
7.0,0.3,353.9020833333334
7.0,0.4,348.0622222222222
7.0,0.5,338.3566666666667
7.0,0.6,336.4973611111111
7.0,0.7,356.5113888888889
7.0,0.8,333.98
7.0,0.9,348.145
7.0,1.0,339.9190277777777
8.0,0.0,386.6451388888889
8.0,0.1,347.1834722222222
8.0,0.2,355.3144444444444
8.0,0.3,332.33958333333334
8.0,0.4,342.12624999999997
8.0,0.5,341.08597222222227
8.0,0.6,359.2952777777778
8.0,0.7,340.8123611111111
8.0,0.8,338.34375
8.0,0.9,344.0298611111112
8.0,1.0,349.5684722222222
9.0,0.0,339.84777777777776
9.0,0.1,347.64722222222224
9.0,0.2,352.4051388888889
9.0,0.3,350.1783333333334
9.0,0.4,338.78291666666667
9.0,0.5,342.62291666666664
9.0,0.6,343.47388888888884
9.0,0.7,355.44236111111115
9.0,0.8,343.16319444444446
9.0,0.9,344.5961111111111
9.0,1.0,340.22375
10.0,0.0,349.36694444444436
10.0,0.1,358.01444444444445
10.0,0.2,336.25694444444446
10.0,0.3,340.67013888888886
10.0,0.4,345.4556944444445
10.0,0.5,343.92652777777784
10.0,0.6,350.13277777777773
10.0,0.7,344.4801388888889
10.0,0.8,329.7868055555556
10.0,0.9,362.33180555555555
10.0,1.0,352.48125
